"","Acrit","Presence","above.Acrit","dominance","delta.alpha","delta.gamma.c","delta.beta.z"
"coef",NA,0.4,-0.15,0.66,-0.29,-0.11,-0.64
"P.val",1,0.2172,0.651,0.028,0.3888,0.7565,0.0355
"df",NA,NA,NA,NA,NA,NA,NA
"coef",0.4,NA,0.7,0.49,-0.57,-0.5,-0.03
"P.val",0.2172,1,0.0208,0.1222,0.0706,0.1214,0.946
"df",NA,NA,NA,NA,NA,NA,NA
"coef",-0.15,0.7,NA,0.14,-0.25,-0.59,0.09
"P.val",0.651,0.0208,1,0.6918,0.4512,0.0607,0.7966
"df",NA,NA,NA,NA,NA,NA,NA
"coef",0.66,0.49,0.14,NA,-0.51,-0.32,-0.63
"P.val",0.028,0.1222,0.6918,1,0.1104,0.342,0.0361
"df",NA,NA,NA,NA,NA,NA,NA
"coef",-0.29,-0.57,-0.25,-0.51,NA,0.71,0.26
"P.val",0.3888,0.0706,0.4512,0.1104,1,0.0187,0.4345
"df",NA,NA,NA,NA,NA,NA,NA
"coef",-0.11,-0.5,-0.59,-0.32,0.71,NA,0.43
"P.val",0.7565,0.1214,0.0607,0.342,0.0187,1,0.1926
"df",NA,NA,NA,NA,NA,NA,NA
"coef",-0.64,-0.03,0.09,-0.63,0.26,0.43,NA
"P.val",0.0355,0.946,0.7966,0.0361,0.4345,0.1926,1
"df",NA,NA,NA,NA,NA,NA,NA
