Num;Division;Class;Family;Species;Sp.code;Growth.forms;Sp.occurence;GROWTH_FORM_ALL;LIFE_DURATION;NATIVE;ENDEMIC;INDIGENOUS;ALIEN;CULTIVATED;CASUAL;ANAT;ACASNAT;AFULNAT;WEED;WEEDOC;WEEDROY,
1;Spermatophyta;Dicotyledonae;Fabaceae;Acacia aneura F. Muell.;ACAANE;SH;4;SH;P;0;0;0;1;0;0;1;0;1;1;1;0,
2;Spermatophyta;Dicotyledonae;Fabaceae;Acacia dealbata Link;ACADEA;SH;1;SH;P;0;0;0;1;0;0;1;0;1;1;1;0,
3;Spermatophyta;Dicotyledonae;Fabaceae;Acacia mearnsii De Wild.;ACAMEA;TR;1;DT;P;0;0;0;1;0;0;1;0;1;1;1;0,
4;Spermatophyta;Dicotyledonae;Rosaceae;Acaena agnipila Gand.;ACAAGN;HR;25;OD;P;0;0;0;1;0;1;0;0;0;0;0;0,
5;Spermatophyta;Dicotyledonae;Rosaceae;Acaena anserinifolia (J.R.Forst. & G.Forst.) J.B.Armstr.;ACAANS;HR;96;OD;P;1;1;0;0;0;0;0;0;0;0;0;0,
6;Spermatophyta;Dicotyledonae;Rosaceae;Acaena caesiiglauca (Bitter) Bergmans;ACACAE;HR;3;OD;P;1;1;0;0;0;0;0;0;0;0;0;0,
7;Spermatophyta;Dicotyledonae;Rosaceae;Acaena dumicola B.H.Macmill.;ACADUM;HR;2;OD;P;1;1;0;0;0;0;0;0;0;0;0;0,
8;Spermatophyta;Dicotyledonae;Rosaceae;Acaena juvenca B.H.Macmill.;ACAJUV;HR;3;OD;P;1;1;0;0;0;0;0;0;0;0;0;0,
9;Spermatophyta;Dicotyledonae;Rosaceae;Acaena novae-zelandiae Kirk;ACANOV;HR;49;OD;P;1;0;0;0;0;0;0;0;0;0;0;0,
10;Spermatophyta;Dicotyledonae;Rosaceae;Acaena spp. L.;ACAENA;HR;3;OD;P;1;1;0;0;0;0;0;0;0;0;0;0,
11;Spermatophyta;Dicotyledonae;Sapindaceae;Acer pseudoplatanus L.;ACEPSE;TR;7;DT;P;0;0;0;1;0;0;1;0;1;1;1;1,
12;Spermatophyta;Dicotyledonae;Asteraceae;Achillea millefolium L.;ACHMIL;HR;299;DC;P;0;0;0;1;0;0;1;0;1;1;0;1,
