NONAME,PLOTID,POINTX,POINTY,PANN0080,PSUM0080,PWIN0080,AVTEMP0080,MINTEM0080,MAXTEM0080,GDD,SOLRADR,MOISTR,UR1991_DNS,BLDG_DIST,DIST_HWSLD,DIST_METAL,DIST_PRIV,DIST_SRIV,DEM_10,ASPECT,SLOPE,PH_MID
1,1,2482103,5738041,881.64001,195.69,339.12,12.7761,3.8888,23.118,2721,0.7821,4402.22944,153,0,17.54,2957.5,8407.25,764.27,40,0,5,5.6
2,2,2483018,5738057,884.09003,198.84,337.75,12.8202,4.081,23.0073,2737,0.8826,3913.74522,153,11.57,84.71,3755.72,9181.81,767.65,86,315,9,5.6
3,3,2483932,5738074,876.01001,197.83,334.32999,12.7944,4.149,22.8922,2731,0.9022,3796.49118,42,0,43.48,4083.98,9979.82,1072.56,16,0,60,6.7
4,4,2486674,5738123,861.87,194.00999,322.67001,13.0788,4.8593,22.7028,2823,0.8079,4160.69717,57,0,41.5,2743.92,8844.91,1183.1,78,240,0,5.6
5,5,2487588,5738139,843.26001,187.14,315.41,12.8994,4.8692,22.3684,2769,0.864,3866.19343,318,0,15.37,2507.9,8577.63,334.61,104,0,0,5.6
6,6,2488503,5738156,787.81,171.41,298.85001,13.1879,5.0606,22.7259,2853,0.7171,4194.48855,108,35,105.63,2593.77,8402.64,553.01,36,10,5,5.6
7,8,2480292,5737094,838.57001,176.25999,332.81,12.4363,3.4599,22.9724,2611,0.9014,3613.29041,147,0,35.13,914.26,6384.84,1107.41,85,0,15,5.6
8,10,2482120,5737127,893.09003,196.88,344.48001,12.3921,3.7248,22.6214,2604,0.803,4462.48456,78,7.21,63.59,2536.47,7936,273.9,153,0,0,5.6
9,11,2483034,5737143,885.78003,198.2,340.23001,12.1421,3.7248,22.1615,2532,0.7501,4821.42868,0,348.37,540.1,3396.88,8751.58,242.05,186,275,0,5.6
10,12,2483948,5737159,876.52002,197.28,336.39999,12.1389,3.8051,22.075,2532,0.8053,4435.50834,0,405.37,490.93,3242.34,9127,606.47,234,330,13,5.2
11,13,2484862,5737176,858.01001,194.88,328.48999,12.8485,4.4268,22.7561,2748,0.8678,3823.97577,81,79.35,89.59,2955.26,8841.43,134.49,40,270,21,5.6
12,14,2486691,5737209,858.78003,193.32001,324.51999,13.0805,4.9181,22.6865,2821,0.7509,4418.31635,72,0,25.04,1948.1,7990.75,577.25,6,0,0,5.6
13,15,2487605,5737225,845.19,187.12,319.41,12.5568,4.6994,21.9459,2664,0.8536,3973.45009,149,99.18,99.54,1599.18,7693.98,101.13,174,65,20,5.6
14,16,2488519,5737242,798.92999,173.2,305.82001,12.6453,4.7634,22.06,2688,0.7571,4140.31752,192,223.34,223.68,1730.37,7498.57,193.89,133,80,22,5.6
15,17,2489433,5737258,758.21997,161.74001,293.88,12.6793,4.781,22.1133,2697,0.8773,3336.36908,192,25,96.07,2258.12,7410.56,297.43,148,0,0,5.6
16,18,2490347,5737275,681.14001,139.89999,270.35001,12.9659,4.9549,22.4829,2780,0.7568,3314.26157,198,0,41.55,2516.49,7435.74,211.74,76,360,0,5.2
17,19,2477566,5736130,860.90002,191.07001,333.60999,12.507,3.2949,23.3474,2623,0.5105,6859.19814,30,0,131.75,1830.01,3720.16,1870.23,60,260,3,5.2
18,20,2478480,5736147,870.26001,191.53,337.69,12.5122,3.3498,23.2932,2626,0.7863,4485.4044,108,133.97,50.72,970.15,4378.48,1428.02,57,260,19,5.6
19,22,2480308,5736179,850.28003,181.42999,336.42999,12.3519,3.4853,22.8418,2584,0.5508,6187.99687,10,0,82.58,512.31,5892.2,760.45,171,0,10,5.6
20,23,2481222,5736196,881.82001,190.8,344.89999,12.0444,3.4248,22.333,2495,0.7756,4690.27636,78,134.46,172.77,1423.08,6707.55,380.31,147,45,0,5.6
21,24,2482136,5736212,894.20001,196.75999,347.07999,11.9163,3.4878,22.0326,2459,0.7316,5110.27902,0,157.54,808.2,2336.44,7545.2,526.39,233,250,12,5.2
22,25,2483051,5736229,881.23999,196.66,341.76001,11.745,3.5297,21.6748,2410,0.7999,4643.73714,0,874.64,1012.4,3041.68,8400.1,95.7,273,65,20,5.6
23,26,2483965,5736245,871.71997,195.82001,338.09,11.958,3.7432,21.8524,2475,0.8032,4489.4378,0,468.62,615.55,2453.85,8232.2,161.14,160,50,24,5.6
24,27,2484879,5736262,853.13,194.03,330.47,12.1585,4.0272,21.9355,2538,0.9507,3621.31232,0,458.23,538.79,2061.64,8084.61,505.17,259,280,25,6.1
25,28,2485793,5736278,843.60999,192.78999,325.66,12.4071,4.3388,22.0792,2614,0.78,4260.11275,120,316.29,365.85,2032.61,7580.41,405.12,175,280,29,5.6
26,29,2486707,5736295,848.13,191.05,326.75,12.6146,4.6076,22.1905,2678,0.7616,4356.32277,0,141.13,163.77,1317.11,7151.88,279.67,73,270,20,5.6
27,30,2487621,5736311,839.22998,185.7,323.91,11.8834,4.2322,21.2248,2457,0.7601,4535.05503,0,363.33,385.27,705.03,6818.69,395.63,341,210,42,5.2
28,31,2488535,5736328,805.46997,174.17999,313.92001,11.9448,4.3088,21.2695,2474,0.8272,3937.09969,0,642.58,374.35,965.41,6597.27,5.64,196,20,0,5.6
29,32,2489450,5736344,772.90002,164.48,304.29999,12.2956,4.539,21.6893,2578,0.7041,4285.97341,0,538.51,526.4,1715.75,6497,288.49,302,10,8,5.2
