Species;Family;Life-form;Biogeographical Status;Date of Naturalisation;Prevalence;Best _ 2X;Best C 2X;AUC;Kappa
Acaena anserinifolia;Rosaceae;Perennial;Native;-;0.08;-1;1;0.983;0.866
Acaena novae-zelandiae;Rosaceae;Perennial;Native;-;0.04;1;1;0.961;0.877
Achillea millefolium;Asteraceae;Perennial;Alien;1867;0.24;-1;0;0.983;0.988
Agrostis capillaris;Poaceae;Perennial;Alien;1867;0.37;-3;0;0.959;0.949
Agrostis stolonifera;Poaceae;Perennial;Alien;1878;0.06;6;1;0.979;0.856
Aira caryophyllea;Poaceae;Annual;Alien;1869;0.14;-1;1;0.982;0.886
Anthoxanthum odoratum;Poaceae;Perennial;Alien;1843;0.7;1;1;0.981;0.887
Aphanes arvensis;Rosaceae;Annual;Alien;1843;0.1;2;1;0.969;0.905
Aphanes inexspectata;Rosaceae;Annual;Alien;1928;0.04;3;1;0.962;0.877
Arrhenatherum elatius;Poaceae;Perennial;Alien;1870;0.04;6;1;0.971;0.829
Bellis perennis;Asteraceae;Perennial;Alien;1867;0.15;-1;0;0.978;0.885
Bromus diandrus;Poaceae;Annual;Alien;1883;0.08;-1;1;0.989;0.869
Bromus hordeaceus;Poaceae;Annual;Alien;1864;0.48;-2;-2;0.968;0.922
Cardamine debilis;Brassicaceae;Perennial;Native;-;0.07;-1;1;0.98;0.874
Carduus pycnocephalus;Asteraceae;Annual;Alien;1934;0.22;-1;0;0.983;0.95
Carduus tenuiflorus;Asteraceae;Annual;Alien;1882;0.03;6;1;0.969;0.9
Carex breviculmis;Cyperaceae;Perennial;Native;-;0.07;-1;1;0.987;0.877
Carex colensoi;Cyperaceae;Perennial;Native;-;0.06;-1;1;0.983;0.884
Cerastium fontanum subsp. vulgare;Caryophyllaceae;Perennial;Alien;1843;0.54;-5;-5;0.969;0.982
Cerastium glomeratum;Caryophyllaceae;Annual;Alien;1846;0.24;5;1;0.979;0.952
Cirsium arvense;Asteraceae;Perennial;Alien;1878;0.13;8;1;0.981;0.849
Cirsium vulgare;Asteraceae;Biennial;Alien;1867;0.49;0;0;0.968;1
