SurveyName;PlotPK;Catchment;Year;Month;Day;Altitude;Aspect;Slope;Litter%;ExposedSoil%;ExposedRock%;BareGround%;MeanTopHeight;MapSeries;MapSheet;PartialEastings;PartialNorthings;RecordedBy;GeneralRemarks
Banks Peninsula Botanical Survey;94027;KAITUNA VALLEY;1983;9;16;96;190;;40;;;30;85;NZMS 1;S 84;050;330;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94028;BEHIND SUGARLOAF;1983;9;19;310;160;31;70;;5;5;80;NZMS 1;S 84;020;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94029;SIGN OF THE KIWI;1983;10;5;295;345;24;;;;2;14;NZMS 1;S 84;010;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94030;PACKHORSE;1983;10;8;505;110;30;1;2;;;3.4;NZMS 1;S 84;050;350;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94031;;1983;10;15;8;;60;;15;35;;15;NZMS 1;S 84;040;520;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94032;NEAR SIGN OF THE BELLBIRD;1983;10;18;415;290;15;;;;1;25;NZMS 1;S 84;000;450;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94033;NEAR SIGN OF THE BELLBIRD;1983;10;18;450;345;10;;;;0;7.5;NZMS 1;S 84;990;450;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94034;KENNEDYS BUSH;1983;10;18;420;250;25;80;5;;;120;NZMS 1;s 84;990;440;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94035;CASS  PEAK;1983;10;18;480;260;16;;1;2;;0.5;NZMS 1;S 84;990;460;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94036;LYTTLETON DRY DOCK;1983;10;24;3;;;;;;85;11.6;NZMS 1;S 84;070;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94037;LYTTLETON RAILWAY STATION;1983;10;24;3;;;;;;99;;NZMS 1;S 84;080;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94038;STICKING POINT;1983;10;24;3;;;;;;100;;NZMS 1;S 84;090;470;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94039;PURAU;1983;10;26;105;340;33;;;;3;8;NZMS 1;S 84;110;420;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94040;PURAU SLOPES OF MT EVANS;1983;10;26;337;290;38;;;15;;17.5;NZMS 1;S 84;120;420;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94041;NEAR TOP OF MT EVANS;1983;10;26;662;230;25;;2;20;;5;NZMS 1;S 84;130;420;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94042;CASTLE ROCK SPUR, HEATHCOTE;1983;11;2;170;280;29;;1;3;;;NZMS 1;S 84;060;500;Hugh D. Wilson;
Banks Peninsula Botanical Survey;94043;NEAR CASTLE ROCK;1983;11;2;333;80;33;;;;0;8;NZMS 1;S 84;060;490;Hugh D. Wilson;
