Id,Scientific.Name,SpecName,Dataframe.name,Genus,Species,Accepted.Name,Family,Origin,Plant Growth Form,Dur,Start,Disp,Veg,CSR,Seed Mass,Height,Congen_Used
1,Acacia spp,Acacia.spp,Acacia_sppU_C,Acacia,spp,NA,NA,NA,Tree,,,,,,,,
2,Acaena big,Acaena.big,Acaena_bigU_C,Acaena,big,NA,NA,NA,Annual Herb,,,,,,,,
3,Acaena little,Acaena.little,Acaena_littleU_C,Acaena,little,NA,NA,NA,Annual Herb,,,,,,,,
4,Acer pseudoplatanus,Acer.pseudoplatanus,Acer_pseudoplatanus_C,Acer,pseudoplatanus,Acer pseudoplatanus,Sapindaceae,Exotic,Tree,Short,Spring,Multiple,1,SC,6,9,
5,Achillea millefolium,Achillea.millefolium,Achillea_millefolium_C,Achillea,millefolium,Achillea millefolium,Compositae,Exotic,Perennial Herb,Medium,Summer,Wind,1,CSR,1,4,
6,Agrostis capillaris,Agrostis.capillaris,Agrostis_capillaris_C,Agrostis,capillaris,Agrostis capillaris,Gramineae,Exotic,Perennial Grass,Short,Summer,Wind,1,CSR,1,5,
7,Agrostis stolonifera,Agrostis.stolonifera,Agrostis_stolonifera_C,Agrostis,stolonifera,Agrostis stolonifera,Gramineae,Exotic,Perennial Grass,Short,Summer,Multiple,1,CR,1,5,
8,Aira caryophyllea,Aira.caryophyllea,Aira_caryophyllea_C,Aira,caryophyllea,Aira caryophyllea,Gramineae,Exotic,Annual Grass,Short,Summer,Animal,0,SR,1,2,
9,Alnus glutinosa,Alnus.glutinosa,Alnus_glutinosa_C,Alnus,glutinosa,Alnus glutinosa,Betulaceae,Indigenous,Tree,Medium,Aut-Winter,Multiple,1,SC,4,9,
10,Alopecurus geniculatus,Alopecurus.geniculatus,Alopecurus_geniculatus_C,Alopecurus,geniculatus,Alopecurus geniculatus,Gramineae,Exotic,Perennial Grass,Medium,Spring,Multiple,1,CR,2,3,
11,Anagallis arvensis,Anagallis.arvensis,Anagallis_arvensis_C,Anagallis,arvensis,Anagallis arvensis,Primulaceae,Exotic,Annual Herb,Long,Summer,Animal,0,SR,2,3,
12,Anaphalioides bellidioides,Anaphalioides.bellidioides,Anaphalioides_bellidioides_C,Anaphalioides,bellidioides,Anaphalioides bellidioides,Compositae,Endemic,Perennial Herb,,,,,,,,
13,Anthemis cotula,Anthemis.cotula,Anthemis_cotulaU_C,Anthemis,cotula,Anthemis cotula,Compositae,Exotic,Annual Herb,Medium,Summer,Wind,0,CR,2,4,
14,Anthoxanthum aristatum,Anthoxanthum.aristatum,Anthoxanthum_aristatumU_C,Anthoxanthum,aristatum,Anthoxanthum aristatum,Gramineae,Exotic,Annual Grass,,,,,,,,
15,Anthoxanthum odoratum,Anthoxanthum.odoratum,Anthoxanthum_odoratum_C,Anthoxanthum,odoratum,Anthoxanthum odoratum,Gramineae,Exotic,Perennial Grass,Short,Spring,Multiple,1,CSR,2,4,
16,Aphanes arvensis,Aphanes.arvensis,Aphanes_arvensis_C,Aphanes,arvensis,Aphanes arvensis,Rosaceae,Exotic,Annual Herb,Short,Spring,Multiple,0,SR,1,2,
