PLOTID,POINTX,POINTY,LANDCOVER
1,2482103,5738041,Built-up Area
2,2483018,5738057,Other Exotic Forest
3,2483932,5738074,Other Exotic Forest
4,2486674,5738123,Built-up Area
5,2487588,5738139,Built-up Area
6,2488503,5738156,Built-up Area
8,2480292,5737094,Built-up Area
10,2482120,5737127,High Producing Exotic Grassland
11,2483034,5737143,High Producing Exotic Grassland
12,2483948,5737159,High Producing Exotic Grassland
13,2484862,5737176,High Producing Exotic Grassland
14,2486691,5737209,Built-up Area
15,2487605,5737225,High Producing Exotic Grassland
16,2488519,5737242,High Producing Exotic Grassland
17,2489433,5737258,Built-up Area
18,2490347,5737275,Built-up Area
19,2477566,5736130,Built-up Area
20,2478480,5736147,Other Exotic Forest
22,2480308,5736179,Built-up Area
23,2481222,5736196,High Producing Exotic Grassland
24,2482136,5736212,High Producing Exotic Grassland
25,2483051,5736229,High Producing Exotic Grassland
26,2483965,5736245,High Producing Exotic Grassland
27,2484879,5736262,High Producing Exotic Grassland
28,2485793,5736278,High Producing Exotic Grassland
29,2486707,5736295,Low Producing Grassland
30,2487621,5736311,High Producing Exotic Grassland
31,2488535,5736328,High Producing Exotic Grassland
32,2489450,5736344,High Producing Exotic Grassland
33,2490364,5736361,Built-up Area
34,2491278,5736377,High Producing Exotic Grassland
35,2476668,5735200,High Producing Exotic Grassland
37,2478496,5735232,High Producing Exotic Grassland
38,2479410,5735249,High Producing Exotic Grassland
39,2480325,5735265,Pine Forest - Closed Canopy
40,2481239,5735282,High Producing Exotic Grassland
41,2482153,5735298,High Producing Exotic Grassland
42,2483067,5735315,High Producing Exotic Grassland
43,2483981,5735331,High Producing Exotic Grassland
44,2484895,5735348,High Producing Exotic Grassland
45,2485809,5735364,Low Producing Grassland
46,2486724,5735381,Low Producing Grassland
47,2487638,5735397,Broadleaved Indigenous Hardwoods
48,2488552,5735413,High Producing Exotic Grassland
49,2489466,5735430,High Producing Exotic Grassland
50,2490380,5735446,Low Producing Grassland
51,2491294,5735463,Low Producing Grassland
52,2492209,5735479,Low Producing Grassland
53,2493123,5735496,Low Producing Grassland
54,2494037,5735512,Low Producing Grassland
56,2475770,5734269,High Producing Exotic Grassland
57,2476684,5734285,High Producing Exotic Grassland
58,2477598,5734302,High Producing Exotic Grassland
59,2478513,5734318,Forest Harvested
60,2479427,5734335,Pine Forest - Closed Canopy
61,2480341,5734351,"Afforestation (imaged, post LCDB 1)"
62,2481255,5734368,High Producing Exotic Grassland
63,2482169,5734384,High Producing Exotic Grassland
64,2483083,5734401,Low Producing Grassland
65,2483998,5734417,Low Producing Grassland
66,2484912,5734433,Low Producing Grassland
67,2485826,5734450,Low Producing Grassland
68,2486740,5734466,Broadleaved Indigenous Hardwoods
69,2487654,5734483,Broadleaved Indigenous Hardwoods
70,2488568,5734499,Low Producing Grassland
71,2489483,5734516,High Producing Exotic Grassland
72,2490397,5734532,Low Producing Grassland
73,2491311,5734549,Low Producing Grassland
74,2492225,5734565,Low Producing Grassland
76,2475787,5733355,High Producing Exotic Grassland
