wilson.names,wilson.code,fede.names,fede.code,source,,preferred name
Acaena tagname trifoliate,ACATRI,Acaena juvenca,ACAJUV,fede,,Acaena juvenca
Agapanthus orientalis,AGAORI,Agapanthus praecox subsp. orientalis,AGAPRO,fede,NA,Agapanthus praecox subsp. orientalis
Agropyron repens,AGRREP,Elytrigia repens,ELYREP,,NA,Elytrigia repens
Agrostis canina,AGRCAN,Agrostis muelleriana,AGRMUE,fede,NA,Agrostis muelleriana
Agrostis tenuis,AGRTEN,Agrostis capillaris,AGRCAP,fede,NA,Agrostis capillaris
ANEURA SPECIES,ANEURA,Acacia aneura,ACAANE,fede,,Acacia aneura
Asplenium bulbiferum subsp. gracilinum,ASPBSG,Asplenium gracillimum,ASPGRA,fede,NA,Asplenium gracillimum
Asplenium colensoi,ASPCOL,Asplenium hookerianum,ASPHOO,fede,NA,Asplenium hookerianum
Blechnum banksii,BLEBAN,Blechnum blechnoides,BLEBLE,fede,NA,Blechnum blechnoides
BLECHNUM PENNA-MARINA,BLEPEN,Blechnum penna-marina,BLEPEN,,,Blechnum penna-marina
Blechnum tagname brown scale,BLEBSC,Blechnum montanum,BLEMON,LR,,Blechnum montanum
Blechnum tagname subalpine,BLESUB,Blechnum penna-marina subsp. Alpina,BLECAP,,,Blechnum penna-marina subsp. Alpina
Blechnum tagname subalpine blackspot,BLESBL,Blechnum spp.,BLECHN,LR,,Blechnum spp.
Blechnum tagname subalpine capense,BLESCA,Blechnum novae-zelandiae,BLENOV,LR,,Blechnum novae-zelandiae
Bromus carinatus,BROCAR,Bromus lithobius,BROLIT,,NA,Bromus lithobius
Bromus mollis,BROMOL,Bromus hordeaceus,BROHOR,,NA,Bromus hordeaceus
Cardaria draba,CARDRA,Lepidium draba,LEPDRA,,NA,Lepidium draba
Carmichaelia robusta,CARROB,Carmichaelia australis,CARAUS,,NA,Carmichaelia australis
Carmichaelia violacea,CARVIO,Carmichaelia australis,CARAUS,,NA,Carmichaelia australis
Conyza albida,CONALB,Conyza sumatrensis,CONSUM,,NA,Conyza sumatrensis
Coronopus didymus,CORDID,Lepidium didymum,LEPDID,,NA,Lepidium didymum
Coronopus squamatus,CORSQU,Lepidium squamatus,LEPSQU,,NA,Lepidium squamatus
Corybas macranthus,CORMAC,Nematoceras macranthum,NEMMAC,,NA,Nematoceras macranthum
CORYBAS TRILOBUS,CORTRI,Nematoceras trilobum,NEMTRI,LR,,Nematoceras trilobum
Cotula dioica,COTDIO,Leptinella dioica,LEPDIO,,NA,Leptinella dioica
Cotula minor,COTMIN,Leptinella minor ,LEPMIN,LR,,Leptinella minor 
Cotula perpusilla,COTPER,Leptinella pusilla,LEPPUS,,NA,Leptinella pusilla
Cotula squalida ,COTSQU,Leptinella squalida ,LEPSQA,,NA,Leptinella squalida 
Crassula tetramera,CRATET,Crassula sieberiana subsp. tetramera,CRASIE,,NA,Crassula sieberiana subsp. tetramera
Cyathodes colensoi,CYTCOL,Acrothamnus colensoi ,ACRCOL,fede,NA,Acrothamnus colensoi 
Cyathodes juniperina,CYTJUN,Leptechophylla juniperina,LEPJUN,,NA,Leptechophylla juniperina
Eucalyptus ficifolia F.Muell.,EUCFIC,Corymbia ficifolia ,CORFIC,LR,,Corymbia ficifolia
Festuca arundinacea,FESARU,Schedonorus arundinaceus,SCHARU,,NA,Schedonorus arundinaceus
Festuca glauca,FESGLA,Festuca ovina,FESOVI,,NA,Festuca ovina
Festuca tagname B.P. blue tussock,FESBPB,Festuca spp.,FESTUC,LR,,Festuca spp.
Geranium microphyllum tagname maculatum,GERMAC,Geranium brevicaule,GERBRE,,NA,Geranium brevicaule
Gnaphalium sphaericum,GNASPH,Euchiton sphaericus,EUCSPH,,NA,Euchiton sphaericus
Gnaphalium tagname green audax,GNAGRE,Euchiton japonicus,GNAGYM,,strange!,Euchiton japonicus
Helichrysum aggregatum,HELAGG,Helicrysum lanceolatum,HELLAN,,NA,Helicrysum lanceolatum
