TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Gunnera monoica Raoul,Gunnera monoica Raoul,Spermatophyta,Dicotyledonae,Gunneraceae,Gunnera,monoica,NA,GUNMON,Not applicable,Moderate,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.01,Evergreen,Broad leaved,50,14,,No,No,Yes,No,Locally common,Monoecious,2,2,2,,No viability data,10 - 100,1.2,,0
Leptinella pusilla Hook.f.,Leptinella pusilla Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Leptinella,pusilla,NA,LEPPUS,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.01,Evergreen,Broad leaved,25,5,,No,No,No data available,No,Locally common,Hermaphrodite,,,,,Seed produced,"100 - 1,000",1.5,,0
Colobanthus strictus Cheeseman,Colobanthus strictus Cheeseman,Spermatophyta,Dicotyledonae,Caryophyllaceae,Colobanthus,strictus,NA,COLSTR,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",0.02,Semi-evergreen,Broad leaved,15,2,,No,No,No data available,No,Locally common,Hermaphrodite,7,,,6,No viability data,10 - 100,,,0
Hydrocotyle heteromeria A.Rich.,Hydrocotyle heteromeria A.Rich.,Spermatophyta,Dicotyledonae,Apiaceae,Hydrocotyle,heteromeria,NA,HYDHET,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.02,Evergreen,Broad leaved,80,13,,No,No,No data available,No,Widespread,Hermaphrodite,4,,2,5,Seed produced,10 - 100,1.4,1.2,
Hydrocotyle moschata G.Forst.,Hydrocotyle moschata G.Forst.,Spermatophyta,Dicotyledonae,Apiaceae,Hydrocotyle,moschata,NA,HYDMOS,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.02,Evergreen,Broad leaved,12,12,,No,No,No data available,No,Widespread,,,2,1,,Seed produced,10 - 100,1.4,1.2,0
Hydrocotyle novae-zeelandiae DC.,Hydrocotyle novae-zeelandiae DC.,Spermatophyta,Dicotyledonae,Apiaceae,Hydrocotyle,novae-zeelandiae,DC.,HYDNOV,Not applicable,Moderate,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.02,Evergreen,Broad leaved,20,20,,No,No,No data available,No,Widespread,Hermaphrodite,3,3,2,5,No viability data,10 - 100,2.1,1.7,0
Geranium sessiliflorum Cav.,Geranium sessiliflorum Cav.,Spermatophyta,Dicotyledonae,Geraniaceae,Geranium,sessiliflorum,NA,GERSES,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",0.05,Evergreen,Broad leaved,20,20,,No,No,No data available,No,Widespread,Hermaphrodite,6,,,6,Seed produced,10 - 100,1.9,,7
Sedum acre L.,Sedum acre L.,Spermatophyta,Dicotyledonae,Crassulaceae,Sedum,acre,NA,SEDACR,1940 - 1970,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.06,Evergreen,Broad leaved,5,3,,No,No,No,No,Widespread,Hermaphrodite,5,,,,No viability data,,0.9,,0
Acaena novae-zelandiae Kirk,Acaena novae-zelandiae Kirk,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,novae-zelandiae,NA,ACANOV,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",0.07,Evergreen,Broad leaved,75,,,Yes,No,,No,Widespread,Hermaphrodite,3,4,2,7,High viability,"100 - 1,000",2,,1
Helichrysum filicaule Hook.f.,Helichrysum filicaule Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Helichrysum,filicaule,NA,HELFIL,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.1,Semi-evergreen,Broad leaved,5,3,,No,No,No data available,No,Widespread,Hermaphrodite,,1,,,Seed produced,"100 - 1,000",1,,0
Epilobium alsinoides A.Cunn.,Epilobium alsinoides A.Cunn.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,alsinoides,NA,EPIALS,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.18,,Broad leaved,13,8,,,,,,Widespread,,6,27,,,Seed produced,,0.9,,0
Wahlenbergia albomarginata Hook.,Wahlenbergia albomarginata Hook.,Spermatophyta,Dicotyledonae,Campanulaceae,Wahlenbergia,albomarginata,NA,WAHALB,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.2,Semi-evergreen,Broad leaved,20,10,,No,No,No data available,No,Widespread,Hermaphrodite,5,8,4,,Seed produced,"100 - 1,000",0.7,,0
Cerastium fontanum Baumg.,Cerastium fontanum Baumg.,Spermatophyta,Dicotyledonae,Caryophyllaceae,Cerastium,fontanum,NA,CERFON,1840 - 1870,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.3,Evergreen,Broad leaved,17,7,0.12,No,No,Yes,No,Widespread,Hermaphrodite,6,,,6,High viability,"1,000 - 10,000",0.6,,0
Achillea millefolium L.,Achillea millefolium L.,Spermatophyta,Dicotyledonae,Asteraceae,Achillea,millefolium,NA,ACHMIL,1840 - 1870,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.4,Evergreen,Broad leaved,105,15,1,No,No,Yes,No,Widespread,Monoecious,6,,,,High viability,"1,000 - 10,000",2.1,,0
Linum monogynum G.Forst.,Linum monogynum G.Forst.,Spermatophyta,Dicotyledonae,Linaceae,Linum,monogynum,NA,LINMON,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.4,Evergreen,Broad leaved,20,,,No,No,Yes,No,Widespread,,7,7,,,Seed produced,"100 - 1,000",4.5,,3
Senecio quadridentatus Labill.,Senecio quadridentatus Labill.,Spermatophyta,Dicotyledonae,Asteraceae,Senecio,quadridentatus,NA,SENQUA,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - non endemic NZ native, extant)",0.4,Semi-evergreen,Broad leaved,80,4,,No,No,,No,Widespread,,12,,,,Seed produced,"100 - 1,000",3,0.4,0
Urtica incisa Poir.,Urtica incisa Poir.,Spermatophyta,Dicotyledonae,Urticaceae,Urtica,incisa,NA,URTINC,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - non endemic NZ native, extant)",0.4,Evergreen,Broad leaved,70,35,,Yes,No,No data available,No,Widespread,Monoecious,6,1,,6,No viability data,,,,0
Acaena agnipila Gand.,Acaena agnipila Gand.,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,agnipila,NA,ACAAGN,1870 - 1900,Low,,Chamaephyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.45,Evergreen,Broad leaved,110,30,,Yes,No,No,No,Widespread,Hermaphrodite,5,3,2,4,No viability data,"100 - 1,000",3,2,
