Genus,Species,Author ,Family,Form,Longevity,Origin,
Acaena,echinata,Nees in Lehm.  ,Rosaceae,Forb,Perennial,Native,
Aira,praecox,L.    ,Poaceae,Grass,Annual,Exotic,
Aphanes,australiana,(Rothm.) Rothm.   ,Rosaceae,Forb,Annual,Native,
Asperula,conferta,Hook.f.    ,Rubiaceae,Forb,Perennial,Native,
Asperula,sp.,aff. scoparia Hook.f.  ,Rubiaceae,Forb,Perennial,Native,
Astroloma,humifusum,(Cav.) R.Br.   ,Epacridaceae,Woody,perennial,Native,
Austrodanthonia,caespitosa,(Gaudich.) H.P.Linder   ,Poaceae,Grass,Perennial,Native,
Austrodanthonia,carphoides,(Benth.) H.P.Linder   ,Poaceae,Grass,Perennial,Native,
Austrodanthonia,tenuior,(Steud.) H.P.Linder   ,Poaceae,Grass,Perennial,Native,
Austrostipa,mollis,(R.Br.) S.W.L.Jacobs & J.Everett   ,Poaceae,Grass,Perennial,Native,
Austrostipa,nodosa,(S.T.Blake) S.W.L.Jacobs & J.Everett ,Poaceae,Grass,Perennial,Native,
Austrostipa,rudis,(Sprengel) S.W.L.Jacobs & J.Everett ,Poaceae,Grass,Perennial,Native,
Bossiaea,prostrata,R.Br.    ,Fabaceae,Woody,Perennial,Native,
Briza,minor,L.    ,Poaceae,Grass,Annual,Exotic,
Briza,minor,L.    ,Poaceae,Grass,Annual,Exotic,
Bromus,hordeaceus,L.    ,Poaceae,Grass,Annual,Exotic,
Calocephalus,citreus,Less.    ,Asteraceae,Forb,Perennial,Native,
Carex,breviculmis,R.Br.    ,Cyperaceae,Graminoid,Perennial,Native,
Convolvulus,angustissimus,R.Br.    ,Convolvulaceae,Forb,Perennial,Native,
Crassula,sieberiana,(Schultes & Schultes f.) Druce,Crassulaceae,Forb,Perennial,Native,
Dianella,amoena,G.W.Carr & P.F.Horsfall  ,Liliaceae,Forb,Perennial,Native,
Dichelachne,crinita,(L.f.) Hook.f.   ,Poaceae,Grass,Perennial,Native,
Dichondra,repens,Forst. & Forst.f.  ,Convolvulaceae,Forb,Perennial,Native,
Ehrharta,stipoides,Labill.    ,Poaceae,Grass,Perennial,Native,
Elymus,scaber,(R.Br.) A.Löve   ,Poaceae,Grass,Perennial,Native,
Eryngium,ovinum,A.Cunn. in Field  ,Apiaceae,Forb,Perennial,Native,
Euchiton,collinus,Cass.    ,Asteraceae,Forb,Perennial,Native,
Geranium,retrorsum,L'Hérit. ex DC.  ,Geraniaceae,Forb,Perennial,Native,
Hibbertia,hirsuta,(Hook.) Benth.   ,Dilleniaceae,Woody,dicot,Perennial,Native
Hypochaeris,glabra,L.    ,Asteraceae,Forb,Annual,Exotic,
Hypochaeris,radicata,L.    ,Asteraceae,Forb,Perennial,Exotic,
Hypoxis,vaginata,Schldl.    ,Liliaceae,Forb,Perennial,Native,
Leontodon,taraxacoides,(Vill.) Mérat   ,Asteraceae,Forb,Perennial,Exotic,
Lepidosperma,inops,F.Muell. ex Rodway  ,Cyperaceae,Graminoid,Perennial,Native,
Leptorhynchos,squamatus,(Labill.) Less.   ,Asteraceae,Forb,Perennial,Native,
Lomandra,nana,(A.Lee) A.Lee   ,Xanthorrhoeaceae,Graminoid,Perennial,Native,
Microtis,unifolia,(G.Forst.) Rchb.f.   ,Orchidaceae,Graminoid,Perennial,Native,
Oxalis,exilis,A.Cunn.    ,Oxalidaceae,Forb,Perennial,Native,
Pimelea,humilis,R.Br.    ,Thymeleaceae,Woody,dicot,Perennial,Native
Plantago,coronopus,L.    ,Plantaginaceae,Forb,Perennial,Exotic,
Plantago,lanceolata,L.    ,Plantaginaceae,Forb,Perennial,Exotic,
Plantago,varia,R.Br.    ,Plantaginaceae,Forb,Perennial,Native,
Poa,rodwayi,Vickery    ,Poaceae,Grass,Perennial,Native,
Romulea,rosea,(L.) Ecklon   ,Iridaceae,Forb,Perennial,Exotic,
Schoenus,absconditus,Kük.    ,Cyperaceae,Graminoid,Annual,Native,
Sebaea,ovata,(Labill.) R.Br.   ,Gentianaceae,Forb,Annual,Native,
Solenogyne,dominii,L.Adams    ,Asteraceae,Forb,Perennial,Native,
Sonchus,asper,(L.) Hill   ,Asteraceae,Forb,Perennial,Exotic,
Themeda,triandra,Forsskal    ,Poaceae,Grass,Perennial,Native,
Trifolium,striatum,L.    ,Fabaceae,Forb,Annual,Exotic,
Trifolium,subterraneum,L.    ,Fabaceae,Forb,Annual,Exotic,
Vulpia,bromoides,(L.) Gray   ,Poaceae,Grass,Annual,Exotic,
Vulpia,myuros,(L.) C.Gmelin   ,Poaceae,Grass,Annual,Exotic,
Wurmbea,dioica,(R.Br.) F.Muell.   ,Liliaceae,Forb,Perennial,Native,
