SBS_name,SBS_number,general_method,single_value_[m],sample_size,valid,reference,mean_CH_[m],maximum_CH_[m],minimum_CH_[m],number_of_replicates,standard_deviation,standard_error,collection_date,original_reference,country,external_support_structure
Marsilea_quadrifolia,5,derivation from photos or drawings,0.1,,1,BIOPOP April 2005,,0.15,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pilularia_globulifera,12,derivation from photos or drawings,0.075,,1,BIOPOP April 2005,,0.1,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Salvinia_natans,17,derivation from photos or drawings,0.02,,1,BIOPOP April 2005,,0.03,0.01,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Azolla_filiculoides,22,derivation from photos or drawings,0.02,,1,BIOPOP April 2005,,0.03,0.01,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Athyrium_distentifolium,35,derivation from photos or drawings,1,,1,BIOPOP April 2005,,1.5,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Athyrium_distentifolium,35,actual measurement (following LEDA data standards),0.06,5,-2,"Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no",0.06,0.11,0.04,,,,,,NORWAY,unknown
Athyrium_filix-femina,37,derivation from photos or drawings,0.65,,1,BIOPOP April 2005,,1,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cystopteris_fragilis,43,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.5,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cystopteris_montana,47,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.45,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cystopteris_sudetica,48,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.4,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Matteuccia_struthiopteris,57,derivation from photos or drawings,0.9,,1,BIOPOP April 2005,,1.5,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Woodsia_alpina,64,derivation from photos or drawings,0.1,,1,BIOPOP April 2005,,0.15,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Woodsia_ilvensis,65,derivation from photos or drawings,0.15,,1,BIOPOP April 2005,,0.2,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Polypodium_vulgare,71,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.5,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_adiantum-nigrum,90,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.45,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_adulterinum,92,derivation from photos or drawings,0.125,,1,BIOPOP April 2005,,0.2,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_cuneifolium,101,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.45,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_fissum,104,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.25,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_fontanum,105,derivation from photos or drawings,0.125,,1,BIOPOP April 2005,,0.2,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_seelosii,113,derivation from photos or drawings,0.06,,1,BIOPOP April 2005,,0.1,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_septentrionale,116,derivation from photos or drawings,0.115,,1,BIOPOP April 2005,,0.15,0.08,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_trichomanes,117,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.3,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_ceterach,125,derivation from photos or drawings,0.125,,1,BIOPOP April 2005,,0.2,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_scolopendrium,133,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.5,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Asplenium_ruta-muraria,156,derivation from photos or drawings,0.09,,1,BIOPOP April 2005,,0.15,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Blechnum_spicant,160,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.5,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_arvense,166,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.5,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_fluviatile,167,derivation from photos or drawings,1,,1,BIOPOP April 2005,,1.5,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_hyemale,170,derivation from photos or drawings,0.95,,1,BIOPOP April 2005,,1.5,0.4,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_palustre,174,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.5,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_pratense,175,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.5,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_ramosissimum,176,derivation from photos or drawings,0.9,,1,BIOPOP April 2005,,1,0.8,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_sylvaticum,179,derivation from photos or drawings,0.325,,1,BIOPOP April 2005,,0.5,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_telmateia,180,derivation from photos or drawings,1.25,,1,BIOPOP April 2005,,2,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Equisetum_variegatum,184,derivation from photos or drawings,0.2,,1,BIOPOP April 2005,,0.3,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Cryptogramma_crispa,188,derivation from photos or drawings,0.225,,1,BIOPOP April 2005,,0.3,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pteridium_aquilinum,250,unknown,0.7,1,1,"Cody, W. J.(1975): The biology of canadian weeds. 15. Pteridium aquilinum (L.) Kuhn [55]",,1.5,0.3,1,,,,"Cody, W. J.(1975): The biology of canadian weeds. 15. Pteridium aquilinum (L.) Kuhn [55]",CANADA,unknown
Pteridium_aquilinum,250,derivation from photos or drawings,1.25,,1,BIOPOP April 2005,,2,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Hymenophyllum_tunbrigense,262,derivation from photos or drawings,0.05,,1,BIOPOP April 2005,,0.07,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Botrychium_lunaria,270,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.3,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Botrychium_matricariifolium,271,derivation from photos or drawings,0.15,,1,BIOPOP April 2005,,0.2,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Botrychium_multifidum,273,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.25,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Botrychium_simplex,279,derivation from photos or drawings,0.07,,1,BIOPOP April 2005,,0.12,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Botrychium_virginianum,280,derivation from photos or drawings,0.45,,1,BIOPOP April 2005,,0.8,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Ophioglossum_vulgatum,283,derivation from photos or drawings,0.125,,1,BIOPOP April 2005,,0.2,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Osmunda_regalis,295,derivation from photos or drawings,1,,1,BIOPOP April 2005,,1.5,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Thelypteris_palustris,299,derivation from photos or drawings,0.55,,1,BIOPOP April 2005,,0.8,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Oreopteris_limbosperma,315,derivation from photos or drawings,0.75,,1,BIOPOP April 2005,,1,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Polystichum_lonchitis,326,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.5,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Polystichum_setiferum,332,derivation from photos or drawings,0.8,,1,BIOPOP April 2005,,1,0.6,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Polystichum_aculeatum,337,derivation from photos or drawings,0.8,,1,BIOPOP April 2005,,1,0.6,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Dryopteris_villarii,342,derivation from photos or drawings,0.3,,1,BIOPOP April 2005,,0.45,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Gymnocarpium_dryopteris,355,derivation from photos or drawings,0.25,,1,BIOPOP April 2005,,0.4,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Gymnocarpium_robertianum,359,derivation from photos or drawings,0.25,,1,BIOPOP April 2005,,0.4,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Polystichum_braunii,370,derivation from photos or drawings,0.55,,1,BIOPOP April 2005,,0.6,0.5,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Dryopteris_carthusiana,377,derivation from photos or drawings,0.375,,1,BIOPOP April 2005,,0.6,0.15,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Dryopteris_cristata,383,derivation from photos or drawings,0.55,,1,BIOPOP April 2005,,0.8,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Dryopteris_dilatata,387,derivation from photos or drawings,0.6,,1,BIOPOP April 2005,,1,0.2,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Dryopteris_filix-mas,393,derivation from photos or drawings,0.75,,1,BIOPOP April 2005,,1.2,0.3,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Selaginella_helvetica,438,derivation from photos or drawings,0.05,,1,BIOPOP April 2005,,0.08,0.02,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Huperzia_selago,464,derivation from photos or drawings,0.175,,1,BIOPOP April 2005,,0.3,0.05,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Huperzia_selago,464,actual measurement (following LEDA data standards),0.11,4,-2,"Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no",0.11,0.13,0.08,,,,,,NORWAY,unknown
Huperzia_selago,464,actual measurement (following LEDA data standards),0.09,3,-2,"Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no",0.08,0.09,0.06,,,,,,NORWAY,unknown
Lycopodium_annotinum,476,derivation from photos or drawings,0.15,,1,BIOPOP April 2005,,0.2,0.1,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Lycopodium_clavatum,479,derivation from photos or drawings,0.115,,1,BIOPOP April 2005,,0.2,0.03,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pseudotsuga_menziesii,562,derivation from photos or drawings,65,,1,BIOPOP April 2005,,90,40,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Tsuga_canadensis,566,derivation from photos or drawings,20,,1,BIOPOP April 2005,,30,10,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
Pinus_cembra,578,derivation from photos or drawings,15,,1,BIOPOP April 2005,,15,,,,,,"J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband",GERMANY,unknown
