SBS_name,SBS_number,general_method,diaspore_type,single_value_[mg],sample_size,valid,median,reference,mean_SM_[mg],maximum_SM_[mg],minimum_SM_[mg],number_of_replicates,general_comment,Drying_method,original_reference,diaspore_type_code
Abies_alba,697,actual measurement,germinule,79.2,,-4,,BIOLFLOR database,79.2,,,,,Air dried weight,,3
Abies_alba,697,actual measurement,one-seeded generative dispersule,79.2,,-4,,BIOLFLOR database,79.2,,,,,Air dried weight,,2a
Abutilon_theophrasti,25800,actual measurement,germinule,10.614,,-4,,BIOLFLOR database,10.614,10.656,10.546,,,Air dried weight,,3
Acer_campestre,811,actual measurement,germinule,96.84,,-4,,BIOLFLOR database,96.84,114.4,80,,,Air dried weight,,3
Acer_campestre,811,actual measurement,one-seeded generative dispersule,14.4,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",14.4,,,10,,Air dried weight,,2a
Acer_campestre,811,actual measurement,one-seeded generative dispersule,18.24,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",18.24,,,25,,Air dried weight,,2a
Acer_campestre,811,actual measurement,generative dispersule,68.9256,5,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",68.9256,71.78,66.37,50,,Air dried weight,,2
Acer_campestre,811,actual measurement,germinule,18.24,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",18.24,,,25,,Air dried weight,,3
Acer_campestre,811,actual measurement,germinule,14.4,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",14.4,,,10,,Air dried weight,,3
Acer_campestre,811,actual measurement,one-seeded generative dispersule,96.84,,-4,,BIOLFLOR database,96.84,114.4,80,,,Air dried weight,,2a
Acer_campestre,811,other,one-seeded generative dispersule,60.492,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",60.492,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Acer_campestre,811,other,one-seeded generative dispersule,60.2996,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",60.2996,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Acer_campestre,811,other,one-seeded generative dispersule,56.2804,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",56.2804,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Acer_campestre,811,other,one-seeded generative dispersule,59.4848,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",59.4848,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Acer_campestre,811,other,one-seeded generative dispersule,61.4608,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",61.4608,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,2a
Acer_campestre,811,other,germinule,60.2996,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",60.2996,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Acer_campestre,811,other,germinule,60.492,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",60.492,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Acer_campestre,811,other,germinule,56.2804,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",56.2804,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Acer_campestre,811,other,germinule,61.4608,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",61.4608,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Acer_campestre,811,other,germinule,59.4848,1,1,,"Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org)",59.4848,,,1000,"1000 seed weight, unknown number of individuals",Air dried weight,,3
Acer_negundo,785,actual measurement,germinule,41.211,,-4,,BIOLFLOR database,41.211,43.232,37.402,,,Air dried weight,,3
Acer_negundo,785,actual measurement,one-seeded generative dispersule,41.211,,-4,,BIOLFLOR database,41.211,43.232,37.402,,,Air dried weight,,2a
Acer_platanoides,801,actual measurement,one-seeded generative dispersule,137.2,,-4,,BIOLFLOR database,137.2,140,134.5,,,Air dried weight,,2a
Acer_platanoides,801,actual measurement,one-seeded generative dispersule,59.9,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",59.9,,,28,,Air dried weight,,2a
Acer_platanoides,801,actual measurement,germinule,137.2,,-4,,BIOLFLOR database,137.2,140,134.5,,,Air dried weight,,3
Acer_platanoides,801,actual measurement,germinule,59.9,1,1,,"Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk",59.9,,,28,,Air dried weight,,3
Acer_platanoides,801,actual measurement,generative dispersule,109.94,2,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",109.94,112.28,107.6,25,,Air dried weight,,2
Acer_pseudoplatanus,803,actual measurement,generative dispersule,70.19666667,3,1,,"Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de",70.19666667,77.40666667,64.84,30,,Air dried weight,,2
