Genus,species,Species Code,Species type,Relative Abundance,VegetativeHeight,SLA,Genus_corr,species_corr,ref
Acaena,novae-zelandiae,ACANZ,native,0.002,15.5,141.5,Acaena,novae-zelandiae,
Achillea,millefolium,ACHMIL,alien,0.005,8.5,174.1,Achillea,millefolium,
Agrostis,capillaris,AGRCAP,alien,0.038,18.7,245.6,Agrostis,capillaris,
Anisotome,aromatica,ANIARO,native,0.001,3.5,206.2,Anisotome,aromatica,
Anisotome,aromatica,ANIARO,native,0,4,123.5,Anisotome,aromatica,
Anogramma,leptophylla,ANOLEP,native,0.001,2.6,189.9,Anogramma,leptophylla,
Anthoxanthum,odoratum,ANTODO,alien,0.124,14.2,267.9,Anthoxanthum,odoratum,
Arrenatherum,elatius,ARRELA,alien,0.001,38,241.9,Arrhenatherum,elatius,misspelt
Austrostipa,nodosa,AUSNOD,native,0.004,23.3,79.4,Austrostipa,nodosa,
Bromus,diantrus,BRODIA,alien,0.006,20.1,285.3,Bromus,diandrus,misspelt
Bromus,mollis,BROMOL,alien,0.038,17.2,300.7,Bromus,mollis,
Calystegia,tuguriorum,CALTUG,native,0.002,3.8,239.4,Calystegia,tuguriorum,
Carex,breviculmis,CARBRE,native,0.005,4,175.4,Carex,breviculmis,
Carex,colensoi,CARCOL,native,0.001,7,141.5,Carex,colensoi,
Carduus,tenuiflorus,CARTEN,alien,0.011,16.1,146.4,Carduus,tenuiflorus,
Cerastium,fontanum,CERFON,alien,0.015,9.3,283.5,Cerastium,fontanum,
Cesarium,ssp.,CESSP,native,0.001,11,262.6,Cesarium,ssp.,
Cynosurus,cristatus,CYNCRI,alien,0.013,15.4,215.3,Cynosurus,cristatus,
Dactylis,glomerata,DACGLO,alien,0.051,25.8,264.4,Dactylis,glomerata,
Morphospecies,Elymus big,ELYBIG,native,0.007,33.8,89.6,Morphospecies,Elymus big,
Elymus,recticetus,ELYREC,native,0.016,19.6,154,Elymus,recticetus,
Erodium,moschatum,EROMOS,alien,0.002,6.4,438.2,Erodium,moschatum,
