obs,spcode,name,date,rep,subrep,subpicture,type,nb.leaves,nb.leaves.num,photo#,date measured,total area,leaf area,dry mass,SLA,comment
239,MUECOM,Muehlenbeckia complexa,29-Nov,4,a,,leaves,5        ,5.0000,IMG_1485,29-Nov,,,,,iphone
239,MUECOM,Muehlenbeckia complexa,29-Nov,4,b,,leaves,6        ,6.0000,IMG_1488,29-Nov,,,,,
1,MUECOM,Muehlenbeckia complexa,29-Nov,5,,,leaves,8        ,8.0000,IMG_1491,29-Nov,,,,,iphone
2,MUECOM,Muehlenbeckia complexa,29-Nov,6,,,leaves,9        ,9.0000,IMG_1493,29-Nov,,,,,iphone
3,MUECOM,Muehlenbeckia complexa,29-Nov,7,a,,leaves,10        ,10.0000,IMG_1496,29-Nov,,,,,iphone
3,MUECOM,Muehlenbeckia complexa,29-Nov,7,b,,leaves,5        ,5.0000,IMG_1498,29-Nov,,,,,
4,MUECOM,Muehlenbeckia complexa,29-Nov,8,,,leaves,10        ,10.0000,266,1-Dec,,,,,
5,MUECOM,Muehlenbeckia complexa,29-Nov,9,,,leaves,17        ,17.0000,267,2-Dec,,,,,
6,MUECOM,Muehlenbeckia complexa,29-Nov,10,,,leaves,12        ,12.0000,IMG_1503,29-Nov,,,,,iphone
7,POLOCU,Polystichum oculatum,29-Nov,1,a,1,leaflet,   1/3  ,0.3333,499,10-Dec,,,,,
7,POLOCU,Polystichum oculatum,29-Nov,1,a,2,leaflet,   1/3  ,0.3333,500,10-Dec,,,,,
7,POLOCU,Polystichum oculatum,29-Nov,1,b,,stems,   1/3  ,0.3333,502,10-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,1,leaves,   1/9  ,0.1111,598,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,2,leaves,   1/9  ,0.1111,599,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,3,leaves,   1/9  ,0.1111,601,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,4,leaves,   1/9  ,0.1111,602,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,5,leaves,   1/9  ,0.1111,603,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,6,leaves,   1/9  ,0.1111,605,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,a,7,leaves,   1/9  ,0.1111,607,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,b,1,?,   1/9  ,0.1111,608,13-Dec,,,,,
8,POLOCU,Polystichum oculatum,29-Nov,2,b,2,?,   1/9  ,0.1111,610,13-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,1,leaves,   1/8  ,0.1250,285,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,2,leaves,   1/8  ,0.1250,284,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,3,leaves,   1/8  ,0.1250,282,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,4,leaves,   1/8  ,0.1250,280,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,5,leaves,   1/8  ,0.1250,278,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,6,leaves,   1/8  ,0.1250,276,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,a,7,leaves,   1/8  ,0.1250,274,2-Dec,,,,,
9,POLOCU,Polystichum oculatum,29-Nov,3,b,,petiolas,   1/8  ,0.1250,286,2-Dec,,,,,
10,POLOCU,Polystichum oculatum,29-Nov,4,a,1,leaflet,   1/3  ,0.3333,503,10-Dec,,,,,
10,POLOCU,Polystichum oculatum,29-Nov,4,a,2,leaflet,   1/3  ,0.3333,506,10-Dec,,,,,
10,POLOCU,Polystichum oculatum,29-Nov,4,b,,stems,   1/3  ,0.3333,508,10-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,a1,1,leaves,   1/11 ,0.0909,241,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,a1,2,leaves,   1/11 ,0.0909,246,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,a1,3,leaves,   1/11 ,0.0909,250,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,b2,4,leaves,   1/11 ,0.0909,253,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,b2,5,leaves,   1/11 ,0.0909,255,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,b2,6,leaves,   1/11 ,0.0909,258,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,b2,7,leaves,   1/11 ,0.0909,259,1-Dec,,,,,
11,POLOCU,Polystichum oculatum,29-Nov,5,a2,1,petiolas,   1/11 ,0.0909,251,1-Dec,,,,,will have to sum with 5b2
11,POLOCU,Polystichum oculatum,29-Nov,5,b1,1,petiolas,   1/11 ,0.0909,260,1-Dec,,,,,will have to sum with 5b2
11,POLOCU,Polystichum oculatum,29-Nov,5,b1,2,petiolas,   1/11 ,0.0909,261,1-Dec,,,,,will have to sum with 5b2
12,ACANOV,Acaena novae-zelandiae,29-Nov,1,,,leaves,3        ,3.0000,236,1-Dec,,,,,
13,ACANOV,Acaena novae-zelandiae,29-Nov,2,,,leaves,2        ,2.0000,237,1-Dec,,,,,
14,ACANOV,Acaena novae-zelandiae,29-Nov,3,,,leaves,4        ,4.0000,240,1-Dec,,,,,
15,ACANOV,Acaena novae-zelandiae,29-Nov,4,,,leaves,3        ,3.0000,269,2-Dec,,,,,
17,ACAANS,Acaena anserinifolia,29-Nov,1,a,,leaves,1        ,1.0000,IMG_1534,29-Nov,,,,,iphone
17,ACAANS,Acaena anserinifolia,29-Nov,1,b,,leaves,1        ,1.0000,IMG_1536,29-Nov,,,,,iphone
18,ACAANS,Acaena anserinifolia,29-Nov,2,a,,leaves,1        ,1.0000,IMG_1525,29-Nov,,,,,iphone
18,ACAANS,Acaena anserinifolia,29-Nov,2,b,,leaves,1        ,1.0000,IMG_1529,29-Nov,,,,,"iphone. ""1b"" on photo"
19,ACAANS,Acaena anserinifolia,29-Nov,3,a,,leaves,1        ,1.0000,229,1-Dec,,,,,
19,ACAANS,Acaena anserinifolia,29-Nov,3,b,,leaves,2        ,2.0000,231,1-Dec,,,,,
20,ACAANS,Acaena anserinifolia,29-Nov,4,,,leaves,2        ,NA,234,1-Dec,,,,,
21,ASPFLB,Asplenium flabellifolium,29-Nov,1,a,1,leaves,0.50,0.5000,IMG_1506,29-Nov,,,,,iphone
21,ASPFLB,Asplenium flabellifolium,29-Nov,1,a,2,stems,0.50,0.5000,IMG_1507,29-Nov,,,,,iphone
21,ASPFLB,Asplenium flabellifolium,29-Nov,1,c,1,leaves,0.50,0.5000,IMG_1514,29-Nov,,,,,iphone
21,ASPFLB,Asplenium flabellifolium,29-Nov,1,c,2,stems,0.50,0.5000,IMG_1518,29-Nov,,,,,iphone
22,PTEESC,Pteridium esculentum,29-Nov,1,a,1,leaves,   1/16 ,0.0625,293,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,a,2,leaves,   1/16 ,0.0625,291,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,a,3,leaves,   1/16 ,0.0625,290,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,a,4,leaves,   1/16 ,0.0625,288,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,a,5,leaves,   1/16 ,0.0625,287,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,b,1,leaves,   1/16 ,0.0625,300,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,b,2,leaves,   1/16 ,0.0625,299,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,b,3,leaves,   1/16 ,0.0625,298,2-Dec,,,,,298 (left)
22,PTEESC,Pteridium esculentum,29-Nov,1,b,4,leaves,   1/16 ,0.0625,297,2-Dec,,,,,297 (right)
22,PTEESC,Pteridium esculentum,29-Nov,1,b,5,leaves,   1/16 ,0.0625,296,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,b,6,leaves,   1/16 ,0.0625,295,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,b,7,leaves,   1/16 ,0.0625,294,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,c,1,petiolas,   1/16 ,0.0625,304,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,c,3,petiolas,   1/16 ,0.0625,302,2-Dec,,,,,
22,PTEESC,Pteridium esculentum,29-Nov,1,c,4,petiolas,   1/16 ,0.0625,301,2-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,a,1,leaves,   1/13 ,0.0769,377,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,a,2,leaves,   1/13 ,0.0769,378,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,a,3,leaves,   1/13 ,0.0769,379,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,a,4,leaves,   1/13 ,0.0769,380,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,1,leaves,   1/13 ,0.0769,387,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,2,leaves,   1/13 ,0.0769,386,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,3,leaves,   1/13 ,0.0769,385,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,4,leaves,   1/13 ,0.0769,384,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,5,leaves,   1/13 ,0.0769,381,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,6,leaves,   1/13 ,0.0769,382,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,7,leaves,   1/13 ,0.0769,383,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,b,8,leaves,   1/13 ,0.0769,388,3-Dec,,,,,
23,PTEESC,Pteridium esculentum,29-Nov,2,c,,petiolas,   1/13 ,0.0769,389,3-Dec,,,,,
30,VITGRA,Vittadinia gracilis,30-Nov,1,,,leaves,12        ,12.0000,313,3-Dec,,,,,
31,VITGRA,Vittadinia gracilis,30-Nov,2,,,leaves,13        ,13.0000,470,10-Dec,,,,,
