Sp.code,SpeciesName,Growth.forms,Growth.forms_corrected,GROWTH_FORM_ALL,LIFE_DURATION,lifestyle,lifestyle.corrected,woody,lifeform,lifeform_corrected,source
ANOLEP,Anogramma leptophylla (L.) Link,FE,,FE,A,A,,0,NA,Therophyte,Annual
CHESIE,Cheilanthes sieberi Kunze in Lehm.,FE,,FE,A,A,,0,NA,Therophyte,Annual
PELFAL,Pellaea calidirupium Brownsey & Lovis,FE,,FE,A,A,,0,NA,Therophyte,Annual
POLNEO,Polystichum neozelandicum Fée,FE,,FE,A,A,,0,NA,Therophyte,Annual
TRISTR,Trichomanes venosum R.Br.,FE,,FE,A,A,,0,NA,Therophyte,Annual
AIRCAR,Aira caryophyllea L.,GR,,MG,A,A,,0,Therophyte,Therophyte,
AIRPRA,Aira praecox L.,GR,,MG,A,A,,0,Therophyte,Therophyte,
ANTODO,Anthoxanthum odoratum L.,GR,,MG,A,A,,0,Hemicryptophyte,Hemicryptophyte,
BRIMIN,Briza minor L.,GR,,MG,A,A,,0,Therophyte,Therophyte,
BRODIA,Bromus diandrus Roth,GR,,MG,A,A,,0,Therophyte,Therophyte,
BROHOR,Bromus hordeaceus L.,GR,,MG,A,A,,0,Therophyte,Therophyte,
BROSIT,Bromus sitchensis Trin.,GR,,MG,A,A,P,0,Hemicryptophyte,Hemicryptophyte,plants.usda.gov
BROSTE,Bromus sterilis L.,GR,,MG,A,A,,0,NA,Therophyte,http://www.kew.org
CRIHYS,Critesion hystrix (Roth) Á.Löve,GR,,MG,A,A,,0,NA,Therophyte,Annual
CRIMAR,Critesion marinum (Huds) Á.Löve,GR,,MG,A,A,,0,NA,Therophyte,Annual
CRIMUR,Critesion murinum (L.) Á.Löve,GR,,MG,A,A,,0,NA,Therophyte,Annual
CRILEP,Critesion murinum subsp. leporinum (Link) Á.Löve,GR,,MG,A,A,,0,NA,Therophyte,Annual
CYNECH,Cynosurus echinatus L.,GR,,MG,A,A,,0,Therophyte,Therophyte,
HORDEU,Hordeum spp. L.,GR,,MG,A,A,,0,NA,Therophyte,Annual
HORDIS,Hordeum vulgare subsp. distichon (L.) Körn.,GR,,MG,A,A,,0,Therophyte,Therophyte,
LACPIL,Lachnagrostis pilosa (Buchanan) Edgar,GR,,MG,A.P,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzpcn.org.nz
LOLMUL,Lolium multiflorum Lam.,GR,,MG,A,A,P,0,Hemicryptophyte,Hemicryptophyte,plants.usda.gov
PHAMIN,Phalaris minor Retz.,GR,,MG,B,A,,0,Therophyte,Therophyte,
PHLPRA,Phleum pratense L.,GR,,MG,A,A,,0,NA,Therophyte,Annual
POACIT,Poa cita Edgar,GR,,MG,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzpcn.org.nz
POAMAT,Poa matthewsii Petrie,GR,,MG,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
PUCSTR,Puccinellia stricta (Hook.f.) C.H.Blom,GR,,MG,A,A,P,0,NA,Hemicryptophyte,http://www.nzpcn.org.nz
PUCWAL,Puccinellia walkeri (Kirk) Allan,GR,,MG,A.P,A,P,0,NA,Hemicryptophyte,http://www.kew.org
SECCER,Secale cereale L.,GR,,MG,A,A,,0,Therophyte,Therophyte,
TRISET,Trisetum lepidum Edgar & A.P.Druce,GR,,MG,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.kew.org
TRITIC,Triticum spp. L.,GR,,MG,A,A,,0,NA,NA,
VULBRO,Vulpia bromoides (L.) Gray,GR,,MG,A,A,,0,Therophyte,Therophyte,
VULMYU,Vulpia myuros (L.) C.C.Gmel. var. myuros,GR,,MG,A,A,,0,NA,Therophyte,Annual
AMADEF,Amaranthus deflexus L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
AMAPOW,Amaranthus powellii S.Watson,HR,,OD,A,A,,0,Therophyte,Therophyte,
ANAARV,Anagallis arvensis L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
HELBEL,Anaphalioides bellidioides (G.Forst.) Glenny,HR,,DC,A,A,,0,NA,Hemicryptophyte,http://nzpcn.org.nz
ANTCAU,Anthriscus caucalis M.Bieb.,HR,,OD,A,A,,0,Therophyte,Therophyte,
APHARV,Aphanes arvensis L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
APHINE,Aphanes inexspectata W.Lippert,HR,,OD,A,A,,0,NA,Therophyte,Annual
APHANE,Aphanes spp. L.,HR,,OD,A,A,,0,NA,Therophyte,http://www.massey.ac.nz
ARCCAL,Arctotheca calendula (L.) Levyns,HR,,DC,A,A,,0,Therophyte,Therophyte,
ARCTOT,Arctotis spp. L.,HR,,DC,A,A,NA,0,NA,NA,
ARESER,Arenaria serpyllifolia L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
ATRPRO,Atriplex prostrata Boucher ex DC.,HR,,OD,A,A,,0,NA,Therophyte,Annual
BRARAP,Brassica rapa L.,HR,,OD,B,A,,0,Therophyte,Therophyte,
BRARSS,Brassica rapa subsp. sylvestris (L.) Janch.,HR,,OD,A,A,,0,NA,Therophyte,Annual
CALMEN,Calandrinia menziesii (Hook.) Torr. & A.Gray,HR,,OD,A,A,,0,Therophyte,Therophyte,
CAPBUR,Capsella bursa-pastoris (L.) Medik.,HR,,OD,A,A,,0,Therophyte,Therophyte,
CARDEB,Cardamine debilis Banks ex DC.,HR,,DC,A,A,P,0,NA,Hemicryptophyte,http://www.nzflora.info
CARBRE,Carex breviculmis R.Br.,HR,,OD,A,A,,0,Hemicryptophyte,Hemicryptophyte,
CARCOR,Carex coriacea Hamlin,HR,,DC,A,A,,0,Hemicryptophyte,Hemicryptophyte,
CENERY,Centaurium erythraea Rafn.,HR,,DC,B,A,,0,Hemicryptophyte,Hemicryptophyte,
CENTAU,Centaurium spp. Hill,HR,,OD,A,A,,0,NA,NA,
CENRUB,Centranthus ruber (L.) DC.,HR,,OD,A,A,P,0,Phanerophyte,Phanerophyte,http://www.missouribotanicalgarden.org
CERGLO,Cerastium glomeratum Thuill.,HR,,OD,A,A,,0,Therophyte,Therophyte,
CERSEM,Cerastium semidecandrum L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
CHEMUR,Chenopodium murale L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
CIRVUL,Cirsium vulgare (Savi) Ten.,HR,,DC,B,A,,0,Hemicryptophyte,Hemicryptophyte,
CLAPER,Claytonia perfoliata Donn ex Willd.,HR,,OD,A,A,,0,NA,Therophyte,Annual
CONBON,Conyza bonariensis (L.) Cronquist,HR,,OD,A,A,,0,Therophyte,Therophyte,
CONSUM,Conyza sumatrensis (Retz.) E.H.Walker,HR,,DC,A,A,,0,Phanerophyte,Therophyte,http://www.cabi.org
COTCOR,Cotula coronopifolia L.,HR,,DC,A,A,,0,Hemicryptophyte,Hemicryptophyte,
CRECAP,Crepis capillaris (L.) Wallr.,HR,,DC,A,A,,0,Therophyte,Therophyte,
CREVES,Crepis vesicaria L.,HR,,DC,A,A,,0,Therophyte,Therophyte,
DAUGLO,"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall.",HR,,OD,B,A,,0,Therophyte,Therophyte,
DIAARM,Dianthus armeria L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
DIGPUR,Digitalis purpurea L.,HR,,OD,B,A,,0,Phanerophyte,Hemicryptophyte,http://www.nzflora.info
DIPMUR,Diplotaxis muralis (L.) DC.,HR,,OD,A,A,,0,Therophyte,Therophyte,
EROCIC,Erodium cicutarium (L.) L'Hér.,HR,,OD,A,A,,0,Therophyte,Therophyte,
EROMOS,Erodium moschatum (L.) L'Hér.,HR,,OD,A,A,,0,Therophyte,Therophyte,
ESCCAL,Eschscholzia californica Cham.,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,
EUPPEP,Euphorbia peplus L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
FALCON,Fallopia convolvulus (L.) Á.Löve,HR,,OD,A,A,,0,Therophyte,Therophyte,
FUMMUR,Fumaria muralis W.D.J.Koch,HR,,OD,A,A,,0,Therophyte,Therophyte,
GALAPA,Galium aparine L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
GALDIV,Galium divaricatum Lam.,HR,,OD,A,A,,0,Therophyte,Therophyte,
GALPRO,Galium propinquum A.Cunn.,HR,,OD,A.P,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
GERMOL,Geranium molle L. ,HR,,OD,A,A,,0,NA,Therophyte,http://www.nzflora.info
GERPUS,Geranium pusillum L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
HELLAN,Helichrysum lanceolatum (Buchanan) Kirk,HR,,DC,A,A,P,0,Phanerophyte,Phanerophyte,http://www.nzflora.info
HYPGRA,Hypericum involutum (Labill.) Choisy,HR,,DC,A,A,P,0,NA,Hemicryptophyte,http://www.nzflora.info
ISOCER,Isolepis cernua (Vahl) Roem. & Schult.,HR,,MS,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
ISOHAB,Isolepis habra (Edgar) Soják,HR,,MS,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://nzpcn.org.nz
ISOMAR,Isolepis marginata (Thunb.) A.Dietr.,HR,,MS,A,A,,0,Hemicryptophyte,Therophyte,http://www.nzflora.info
JUNBUF,Juncus bufonius L.,HR,,MR,A,A,,0,Therophyte,Therophyte,
JUNNOV,Juncus novae-zelandiae Hook.f.,HR,,MR,A.P,A,P,0,Hemicryptophyte,Hemicryptophyte,http://juncaceae.e-monocot.org/
LACSER,Lactuca serriola L.,HR,,DC,A,A,,0,Therophyte,Therophyte,
LAGSTR,Lagenifera strangulata Colenso,HR,,DC,A,A,P,0,Hemicryptophyte,Hemicryptophyte,
LAMPRA,Lampranthus spp. N.E.Br.,HR,SH,OD,A,A,P,0,NA,Phanerophyte,http://www.nzflora.info
LEPDID,Lepidium didymum L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
LEPIDI,Lepidium spp. L.,HR,,OD,A,A,NA,0,NA,NA,
LILAEO,Lilaeopsis novae-zelandiae (Gand.) A.W.Hill,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
LINCAT,Linum catharticum L.,HR,,OD,A,A,,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
LINMON,Linum monogynum G.Forst.,HR,,OD,B,A,P,0,Chamaephyte,Chamaephyte,http://www.nzflora.info
LYTHYS,Lythrum hyssopifolia L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
MALLIN,Malva linnaei M.F.Ray,HR,,OD,A,A,,0,Therophyte,Therophyte,
MALNEG,Malva neglecta Wallr.,HR,,OD,A,A,,0,Therophyte,Therophyte,
MALNIC,Malva nicaeensis All.,HR,,OD,A,A,,0,Therophyte,Therophyte,
MATDIS,Matricaria discoidea DC.,HR,,DC,A,A,,0,Phanerophyte,Therophyte,http://plants.usda.gov
MEDARA,Medicago arabica (L.) Huds.,HR,,OD,A,A,,0,Therophyte,Therophyte,
MEDLUP,Medicago lupulina L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
MEDSAT,Medicago sativa L.,HR,,OD,A,A,P,0,Chamaephyte,Chamaephyte,http://plants.usda.gov
MEDICA,Medicago spp. L.,HR,,OD,A,A,,0,NA,NA,
MIMREP,Mimulus repens R.Br.,HR,,OD,A.P,A,P,0,Hemicryptophyte,Hemicryptophyte,
MONFON,Montia fontana L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
MYOCAE,Myosotis laxa subsp. caespitosa (Schultz) Hyl. ex Nordh.,HR,,OD,B,A,,0,NA,Hemicryptophyte,http://www.nzflora.info
MYOSPA,Myosotis spathulata G.Forst.,HR,,OD,A.P,A,P,0,NA,Hemicryptophyte,http://www.nzpcn.org.nz
PARDEB,Parietaria debilis G.Forst.,HR,,OD,A,A,,0,Therophyte,Therophyte,
POLPER,Persicaria maculosa Gray,HR,,OD,A,A,,0,Therophyte,Therophyte,
PETCRI,Petroselinum crispum (Mill.) A.W.Hill,HR,,OD,A,A,,0,Therophyte,Therophyte,
PLARAO,Plantago raoulii Decne.,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
RANPAR,Ranunculus parviflorus L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
RANSAR,Ranunculus sardous Crantz,HR,,OD,A,A,,0,Therophyte,Therophyte,
RANSCE,Ranunculus sceleratus L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SAGAPE,Sagina apetala Ard.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SENBAS,Senecio glaucophyllus subsp. basinudus Ornduff,HR,,DC,A,A,P,0,NA,Hemicryptophyte,http://www.nzpcn.org.nz
SENGLO,Senecio glomeratus Poir.,HR,,DC,A,A,,0,Therophyte,Therophyte,
SENJAC,Senecio jacobaea L. ,HR,,DC,B,A,P,0,NA,Hemicryptophyte,Jacobaea vulgaris at http://www.nzpcn.org.nz
SENLAU,Senecio lautus G.Forst. ex Willd.,HR,,DC,A,A,,0,NA,Therophyte,Annual
SENMIN,Senecio minimus Poir.,HR,,DC,A,A,,0,Therophyte,Therophyte,
SENSYL,Senecio sylvaticus L.,HR,,DC,A,A,,0,Therophyte,Therophyte,
SENVUL,Senecio vulgaris L.,HR,,DC,A,A,,0,Therophyte,Therophyte,
SENWAI,Senecio wairauensis Belcher,HR,,DC,A,A,,0,Therophyte,Therophyte,
SHEARV,Sherardia arvensis L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SILGAL,Silene gallica L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SILMAR,Silybum marianum (L.) Gaertn.,HR,,DC,A,A,,0,Therophyte,Therophyte,
SISOFF,Sisymbrium officinale (L.) Scop.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SISORI,Sisymbrium orientale L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SOLGUN,Solenogyne gunnii (Hook.f.) Cabrera,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
SONASP,Sonchus asper (L.) Hill,HR,,DC,A,A,,0,Therophyte,Therophyte,
SONOLE,Sonchus oleraceus L.,HR,,DC,A,A,,0,Therophyte,Therophyte,
SPEARV,Spergula arvensis L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SPEMAR,Spergularia marina (L.) Griseb.,HR,,OD,A,A,,0,Therophyte,Therophyte,
SPERUB,Spergularia rubra (L.) J.Presl & C.Presl,HR,,OD,A,A,,0,Therophyte,Therophyte,
STAARV,Stachys arvensis (L.) L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
STEDEC,Stellaria decipiens Hook.f.,HR,,OD,A.P,A,,0,NA,Therophyte,
STEPAR,Stellaria parviflora Hook.f.,HR,,OD,A.P,A,,0,Therophyte,Therophyte,http://www.nzflora.info
STUMUE,Stuartina muelleri Sond.,HR,,DC,A,A,,0,NA,Therophyte,http://www.nzflora.info
THEHAT,Thelymitra hatchii L.B.Moore,HR,,MO,A,A,,0,Geophyte,Geophyte,
TORNOD,Torilis nodosa (L.) Gaertn.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRAPOR,Tragopogon porrifolius L.,HR,,DC,A,A,,0,Chamaephyte,Hemicryptophyte,Biennial
TRIARV,Trifolium arvense L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRICAM,Trifolium campestre Schreb.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRIDUB,Trifolium dubium Sibth.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRIFRA,Trifolium fragiferum L.,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
TRIGLO,Trifolium glomeratum L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRIPRA,Trifolium pratense L.,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,http://www.nzflora.info
TRIREP,Trifolium repens L.,HR,,OD,A,A,P,0,Chamaephyte,Hemicryptophyte,http://www.nzflora.info
TRISTT,Trifolium striatum L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRISUB,Trifolium subterraneum L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
TRITOM,Trifolium tomentosum L.,HR,,MG,A,A,,0,Therophyte,Therophyte,
TRIINO,Tripleurospermum inodorum Sch.Bip.,HR,,OD,A,A,,0,Therophyte,Therophyte,
URTURE,Urtica urens L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
VERTHA,Verbascum thapsus L.,HR,,OD,A,A,,0,Hemicryptophyte,Hemicryptophyte,biennial
VEROFF,Verbena officinalis L.,HR,,OD,B,A,,0,Hemicryptophyte,Hemicryptophyte,biennial
VERARV,Veronica arvensis L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
VERPER,Veronica persica Poir.,HR,,OD,A,A,,0,Therophyte,Therophyte,
VERSER,Veronica serpyllifolia L.,HR,,OD,A,A,P,0,Hemicryptophyte,Hemicryptophyte,
VICHIR,Vicia hirsuta (L.) Gray,HR,,OD,A,A,,0,Therophyte,Therophyte,
VICLUT,Vicia lutea L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
VICSAT,Vicia sativa L.,HR,,OD,A,A,,0,Therophyte,Therophyte,
VICTET,Vicia tetrasperma (L.) Schreb.,HR,,OD,A,A,,0,Therophyte,Therophyte,
BRASCI,Brachyglottis sciadophila (Raoul) B.Nord.,SH,,DL,A,A,P,1,NA,Phanerophyte,
CONVER,"Convolvulus waitaha (Sykes) Heenan, Molloy & de Lange",SH,HR,DT,A.B,A,P,1,NA,Hemicryptophyte,
MELSIM,Melicope simplex A.Cunn.,SH,,SH,A,A,P,1,Phanerophyte,Phanerophyte,
PARCAP,Parsonsia capsularis (G.Forst.) R.Br.,SH,,SH,A,A,P,1,NA,Phanerophyte,
PARHET,Parsonsia heterophylla A.Cunn.,SH,,SH,A,A,P,1,Phanerophyte,Phanerophyte,
PASTET,Passiflora tetrandra Banks ex DC.,SH,,SH,B,A,P,1,NA,Phanerophyte,
EUCVIM,Eucalyptus viminalis Labill.,TR,,DT,A,A,P,1,Phanerophyte,Phanerophyte,Growth.forms:Tree
MALDOM,Malus ×domestica Borkh. ,TR,,DT,B,A,P,1,NA,Phanerophyte,Growth.forms:Tree
MYOLAE,Myoporum laetum G.Forst.,TR,,DT,A,A,P,1,Phanerophyte,Phanerophyte,Growth.forms:Tree
PSDCOL,Pseudopanax colensoi (Hook.f.) Philipson,TR,,DT,A,A,P,1,Phanerophyte,Phanerophyte,Growth.forms:Tree
ASPTER,Asplenium appendiculatum (Labill.) C. Presl,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
ASPBUL,Asplenium bulbiferum G.Forst.,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
ASPFLB,Asplenium flabellifolium Cav.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
ASPFLA,Asplenium flaccidum G.Forst.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
ASPGRA,Asplenium gracillimum Colenso,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
ASPHOO,Asplenium hookerianum Colenso,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
ASPOBL,Asplenium oblongifolium Colenso,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
ASPRIC,Asplenium richardii (Hook.f.) Hook.f.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEBLE,Blechnum blechnoides (Bory) Keyserl.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLECHA,Blechnum chambersii L.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLECOL,Blechnum colensoi (Hook.f. in Hook.) N.A.Wakef.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEDIS,Blechnum discolor (G.Forst.) Keyserl.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEFLU,Blechnum fluviatile (R.Br.) Lowe ex Salomon,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEMIN,Blechnum minus (R.Br.) Ettingsh.,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
BLEMON,Blechnum montanum T.C.Chambers & P.A.Farrant,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLENOV,Blechnum novae-zelandiae T.C.Chambers & P.A.Farrant,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEPEN,Blechnum penna-marina (Poir.) Kuhn,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
BLECAP,Blechnum penna-marina subsp. alpina T.C.Chambers & P.A.Farrant (1996),FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEPRO,Blechnum procerum (G.Forst.) Sw.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLECHN,Blechnum spp. L.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
BLEVUL,Blechnum vulcanicum (Blume) Kuhn,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
CHEDIS,Cheilanthes distans (R.Br.) Mett.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
CTEHET,Ctenopteris heterophylla (Labill.) Tindale ,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
CYACOL,Cyathea colensoi (Hook.f.) Domin,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
CYADEA,Cyathea dealbata (G.Forst.) Sw.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
CYASMI,Cyathea smithii Hook.f.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
DICSQU,Dicksonia squarrosa (G.Forst.) Sw.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
DRYFIL,Dryopteris filix-mas (L.) Schott,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
GRACIL,Grammitis ciliata Colenso,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
HISINC,Histiopteris incisa (Thunb.) J.Sm.,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
HUPVAR,Huperzia varia (R.Br.) Trevis.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
HYMRAR,Hymenophyllum rarum R.Br.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
HYPAMB,Hypolepis ambigua (A.Rich.) Brownsey & Chinnock,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
HYPMIL,Hypolepis millefolium Hook.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
HYPRUF,Hypolepis rufobarbata (Colenso) N.A.Wakef.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
LASHIS,Lastreopsis hispida (Sw.) Tindale,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
LASVEL,Lastreopsis velutina (A.Rich.) Tindale,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
LEPHYM,Leptopteris hymenophylloides (A.Rich.) C.Presl,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
LYCFAS,Lycopodium fastigiatum R.Br.,FE,,FE,P,P,,0,Hemicryptophyte,Hemicryptophyte,Growth.form:Fern
MICPUS,Microsorum pustulatum (G.Forst.) Copel.,FE,,FE,P,P,,0,NA,Hemicryptophyte,Growth.form:Fern
