Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Boreal moist forest,Dicotyledons,Sapindales,Sapindaceae,Acer ginnala,,103.5,,10,,27.22,301; 884
Boreal moist forest,Dicotyledons,Sapindales,Sapindaceae,Acer platanoides,,124.2,,26.53,,143.324,576; 884
Boreal moist forest,Monocotyledons,Poales,Poaceae,Achnatherum splendens,,,,2.5,,0.57,301; 884
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Adonis vernalis,,144.5,,0.23,,,400; 883
Boreal moist forest,Dicotyledons,Apiales,Apiaceae,Aegopodium podagraria,303,,0.7,,2.28,,400; 883; 888
Boreal moist forest,Monocotyledons,Asparagales,Alliaceae,Allium rubens,,88.4,,,,,883
Boreal moist forest,Monocotyledons,Asparagales,Alliaceae,Allium senescens,,131.2,,0.12,,,301; 400
Boreal moist forest,Monocotyledons,Asparagales,Alliaceae,Allium strictum,,60.1,,,,,883
Boreal moist forest,Dicotyledons,Fagales,Betulaceae,Alnus crispa,,144.9,,3,,0.354,884; 98
Boreal moist forest,Monocotyledons,Asparagales,Asparagaceae,Anemarrhena asphodeloides,,,,1,,,301
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Anemone sylvestris,200.8,,0.15,,,,400; 883
Boreal moist forest,Monocotyledons,Poales,Poaceae,Aneurolepidium chinense,,,,1,,,301
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Antennaria dioica,,177.5,,0.13,,0.078,400; 883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Anthemis tinctoria,133.2,,0.38,,0.4,,400; 883; 884
Boreal moist forest,Dicotyledons,Gentianales,Apocynaceae,Apocynum androsaemifolium,,,,0.6,,0.29,884; 98
Boreal moist forest,Dicotyledons,Ranunculales,Ranunculaceae,Aquilegia vulgaris,295,,0.7,,1.67,,400; 883; 884
Boreal moist forest,Dicotyledons,Apiales,Araliaceae,Aralia nudicaulis,,,,0.3,,7.27,884; 98
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Arctium tomentosum,352.9,,0.83,,9.04,,400; 883; 884
Boreal moist forest,Dicotyledons,Ericales,Ericaceae,Arctostaphylos uva-ursi,,48.9,,0.66,,18.2,884; 98
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Artemisia absinthium,188.7,,0.95,,0.1,,883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Artemisia frigida,,,,,,0.08,301; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Artemisia vulgaris,288,,1.51,,0.143,,883; 884
Boreal moist forest,Dicotyledons,Asterales,Asteraceae,Aster amellus,102.2,,0.28,,0.54,,400; 883; 884
Boreal moist forest,Dicotyledons,Ranunculales,Berberidaceae,Berberis vulgaris,117.4,,1.91,,13,,576; 884
