"","df","P.abun.alone","DeltaAIC","P.elev","P.asp","P.abun","est.abun","P.c2","P.c3","P.c4","P.c5","P.c6"
"ACHMIL",293,5.96360305458469e-31,76.8434793774297,8.13274460029259e-30,4.76355222014431e-48,5.66853432083236e-18,-0.247989462884548,1.93992656492117e-14,1.41152281219693e-09,0.0105470584541624,1.19415331504436e-10,NA
"AGRCAP",453,1.5579603824163e-20,89.6885205861749,1.05113887478381e-110,6.79631461979552e-50,1.01707302118588e-20,-0.133524513663312,0.322589501733875,4.02821569716542e-10,4.34748373217046e-07,2.62256626812865e-11,0.000953693470570434
"AGRSTO",71,3.20387011125867e-07,3.63947441320374,0.000589610040053609,1.15853498106161e-15,0.0203898762072629,-0.137727370771318,2.21440919492848e-06,0.00874651619798338,0.0602885762360743,0.326520529397734,NA
"AIRCAR",171,0.183263211102341,1.2732966653798,2.24996656795889e-24,3.37100432198458e-06,0.072689183030373,-0.0487819431962286,0.00040121529488495,0.0397946228111231,0.164497262433373,0.951096389137534,NA
"ANTODO",862,0.00207150699260508,82.5441534584552,7.74480909372922e-169,2.87030547387641e-94,4.84280057275084e-20,-0.0835866183389124,0.010537915354583,2.15085971268613e-09,0.213152312206095,4.53350584254543e-16,7.42586352538711e-14
"APHARV",118,0.00766452448570088,3.96837756463287,0.0218541619475612,4.4125571104605e-06,0.015998950631868,-0.0848335779133133,0.000656105924591655,0.0672996634385113,0.481764373040623,NA,NA
"ARRELA",43,0.000607213066150373,2.6363372440706,8.88450940076908e-09,0.000102190403248461,0.0334929774732013,-0.167956939582913,0.0830311109190465,0.106863617173433,0.989999060870387,NA,NA
"BELPER",180,0.313645710155844,-1.39445190426682,2.13665450708275e-20,3.42302423128066e-34,0.437899461936126,-0.0265422919298642,0.148018098409262,0.313549595145976,0.662475004244963,0.987420309124448,NA
"BRODIA",100,0.0559314311451897,12.5206883765912,4.41143907904073e-08,4.37869092473746e-19,9.82230408748727e-05,0.131075504025528,4.20793571121408e-07,1.24346213253768e-06,9.37339596686518e-05,0.0184703129458029,NA
"BROHOR",590,0.000293961023811445,5.79954169814391,4.95783456809966e-24,5.4754098865919e-36,0.00545752598729259,-0.0497550631519645,0.00556667519151612,0.179495667278404,0.00196872783868374,0.0670716110018671,0.529964317228286
"CARPYC",270,5.22761932328908e-05,2.61014883892267,0.00132843679267623,4.27508132999381e-46,0.0347230678954511,-0.0664608078704247,0.00012901632581332,0.257176299524089,0.00665555626743132,0.678344695355304,0.0771637266451828
"CARTEN",37,0.00900034746867605,3.31243296891301,2.05974306012406e-05,0.000650623947706532,0.0245159181215031,-0.148185252678312,3.19399502422525e-05,0.144182813096063,0.451574631171866,NA,NA
"CERFSV",620,0.270605371793032,38.8074585666745,9.66902296805399e-75,6.55751591053727e-78,2.50889923346007e-10,-0.121871152924678,7.7537102621127e-05,7.93120848293321e-10,0.976536157441387,NA,NA
"CERGLO",293,0.206010066698719,1.23675014724722,6.905720605463e-18,3.30141079432142e-29,0.0733234693097213,-0.0414960476469366,0.087583708395444,0.790910327941679,0.0112024546502884,0.0646773935443668,NA
"CIRARV",157,0.0503236953004186,5.27066582818566,1.14538603651514e-27,3.7578326099633e-19,0.0077084081878251,-0.0859426486289225,0.0206920376717535,0.0210468328679308,0.010452004177301,0.742911235370341,0.975798863768437
"CIRVUL",599,2.72647459561297e-05,-0.00445197169847233,7.56564082163019e-62,7.5877665162428e-70,0.161002411937069,-0.0378879989777273,0.0363190027940846,0.984611013799423,0.488944822808458,0.960855822311017,NA
"CRECAP",797,0.000812333719668123,48.9355821179333,4.95891769769442e-91,4.12460092906368e-84,1.16097658579083e-12,-0.10405709322056,0.0825383012539979,9.00079695344693e-13,0.135152851470473,0.139734196160764,NA
"CRIMUR",155,2.23643280217246e-13,52.1336377744517,0.00315828542618403,0.00013498526374024,2.6521577527201e-11,-0.36582571503892,1.36189198910504e-05,8.82171571337312e-05,0.0190853105183326,0.00417979390148018,0.975202648025139
"CYNCRI",731,1.1396716449732e-48,218.793266372381,2.96418330085123e-122,1.61207906623946e-75,9.94577333221828e-49,-0.175620864570482,0.0318327689655098,3.71818192778242e-07,7.76243893569386e-26,5.01965745814265e-32,5.04351945751447e-06
"CYNECH",94,0.102540546717093,-1.99999989574383,1.62708516885677e-06,1.13494697074005e-08,0.999742373492159,-1.06289085343601e-05,0.298403736902503,0.0152534592663377,0.897636433202918,0.0790400180757176,NA
"DACGLO",950,9.75458761031887e-32,164.502130829964,6.79253581554503e-125,1.52794654878993e-104,1.29099863264688e-36,-0.131011864118381,0.000273340878845587,0.000277682750641521,4.5857787488635e-15,6.50755409468801e-21,1.67861045665497e-15
"DIGPUR",242,0.0779284572311106,-0.66768811606471,0.00359816491533322,2.06611935285301e-27,0.250119116274727,-0.0253942809160935,0.0547124590331402,0.458656396450298,0.000720249717638593,NA,NA
"ELYREC",398,0.0102075405021644,-1.42388330756057,1.77593113956699e-81,1.24764101452357e-11,0.448210680959576,-0.0125262661575358,0.112624470259331,0.846521382620664,0.254866987215827,0.462970818139258,NA
"GERMOL",216,4.58498564767522e-05,4.50511405315274,0.740767319510873,1.75547889791791e-30,0.00985480025203208,0.0720293874682446,5.71782298058957e-07,0.00493066942430667,0.298199522808678,0.197793725890188,NA
"HOLLAN",897,9.66043702641063e-54,381.831736421888,1.37471243082682e-175,8.34836558685599e-88,4.15923792329102e-83,-0.220547694950347,1.42547938289e-10,2.97033937602635e-46,1.7467015127566e-30,4.40699428792414e-47,1.34051145106423e-06
"HYPGLA",58,0.485035677352226,-0.516562366783376,5.69762085625304e-05,0.162630198284916,0.227665610221352,-0.0712796435398779,0.315577367006098,0.718426951900442,0.109906000168997,NA,NA
"HYPRAD",952,0.221487101368254,43.7473067921164,2.04494563949259e-177,2.1436523369776e-93,1.68173604443107e-11,-0.0812994673475153,4.17741682108437e-21,9.62187504434044e-15,1.1072839879543e-07,0.000360940708901111,NA
"LEOTAR",113,0.0752200853224311,-1.99396933594903,7.66393512686803e-07,1.01257668049817e-12,0.938139117047737,-0.00347589317761252,0.0034284887966306,0.787588261698717,0.912020663308985,0.619875026028865,NA
"LOLPER",933,1.9855786945122e-143,543.675136402527,1.83759362113952e-37,5.47045817340976e-57,2.97038467250674e-113,-0.243822240369385,0.873829317206432,3.88452006116293e-19,1.50427361558547e-22,9.12181948210459e-61,1.0898707142026e-33
"PHLPRA",61,6.2637049762844e-08,14.9140506045646,2.21263103312626e-16,2.84782552454353e-09,0.000175107450970451,-0.393545219912734,0.0190411657438813,0.00172390296182488,0.243922193916287,0.99065557462861,NA
"PLALAN",335,3.39230718311452e-18,36.7323995115134,6.54676863267448e-08,1.23637453491329e-33,8.64318216902212e-10,-0.189483586378299,1.53980173347681e-05,4.31386761293837e-10,0.167385850739742,0.963436445658705,NA
"POAPRA",375,0.0355753680076798,1.81163352380236,5.90403201433168e-22,2.36580238338176e-19,0.053387618771736,-0.0596266197115018,7.64029840018512e-06,0.133499804254089,0.00285530301851309,0.0366049996200898,NA
"POLTET",89,1.4181174125622e-05,11.8548207027279,0.00679669257316733,1.03030352012922e-17,0.000110787317135885,0.147713108392417,0.230964473992829,0.0165315282532114,0.918261842555047,0.000141211618009355,NA
"RUMACE",356,3.20668846655015e-07,11.5962343181418,6.00800436764967e-51,2.92605940102105e-26,0.000270605078576804,-0.0817200164274604,4.11670442547079e-06,0.0144610498052326,0.889695737371838,0.0427409843204239,NA
"RYTCAE",50,0.0110883113993731,-1.6808824534134,0.00332387632366114,3.42116166803032e-08,0.571208646357512,0.0239799823795277,0.188851395863294,0.428228129245768,0.48801231650679,0.440107887134309,0.257362318519746
"RYTRAC",160,3.34456279542936e-15,22.7028163819245,2.25941883099246e-12,4.21198936517407e-08,9.13905118955299e-07,-0.108788251117919,0.205597846941612,0.00738910047890872,0.000757193679057574,0.000163217675120386,0.0342300784207608
"SILGAL",164,4.73478860435796e-05,8.23444928780691,5.04939167824034e-05,2.13192242669182e-10,0.00119569870655638,0.118415844247317,0.0654526029624796,0.0423642071322102,0.00102856554869085,NA,NA
"STEMED",204,4.50475874376967e-06,13.3602221629139,0.000446533222627518,1.6725415913682e-55,6.94469173170693e-05,0.106945389051088,5.11542288123551e-07,0.00963994713897182,0.156554104853879,NA,NA
"TAROFF",309,9.78396598623124e-21,53.6684913368367,9.84615078182945e-32,1.69974183336639e-65,2.37539466478348e-12,-0.321418238870642,3.19247848104557e-14,3.95718379586497e-05,0.99058259928262,NA,NA
"TRIDUB",668,4.31865173804206e-05,28.1323963307577,2.50448533239741e-103,2.97689051673286e-51,5.27766253900813e-08,-0.0719976975633112,0.0934830359404043,5.07354442580749e-06,0.218786795204458,0.000113780690417509,NA
"TRIGLO",283,0.00123654521860621,5.28710471459749,3.66498604774992e-07,1.13745938378225e-06,0.00741462374848462,-0.0556610019515895,0.960055187367525,0.410753046980203,0.00488932032875783,0.0754747326003346,NA
"TRIPRA",110,0.256056715686896,-1.93808624863516,2.20282413495845e-22,3.16666218749167e-34,0.803063974002394,0.0111582624149497,0.404110407729203,0.00301076253449111,0.469441677014852,0.00993710512239594,NA
"TRIREP",941,2.73088777909064e-220,936.699423422382,2.06139168507802e-185,6.04343478387746e-81,2.54019497129708e-203,-0.308108267307631,0.00486240290747261,9.32300629392075e-71,2.07075889573997e-69,1.62278030227636e-147,0.961472374886989
