"","sp","th","prevalence","n.plot.impact","prop.plot.impact","mean.dif","wtd.mean.dif","th.dif","max.dif","SRo","prop.mean.dif","prop.wtd.mean","prop.max.dif","impact.index"
"ACHMIL","ACHMIL","5","233","14","0.0600858369098712","4.7926267281106","4.7926267281106","4.7926267281106","4.7926267281106","21.9354838709677","0.218487394957983","0.218487394957983","0.218487394957983","0.013127997980308"
"AGRCAP","AGRCAP","5","305","42","0.137704918032787","2.51232492997199","2.88375350140056","3.06946778711485","3.06946778711485","23.0980392156863","0.108767887460587","0.124848411350958","0.132888673296144","0.0171922402516073"
"AGRSTO","AGRSTO",NA,"56","0","0",NA,NA,NA,NA,"23",NA,NA,NA,NA
"AIRCAR","AIRCAR",NA,"123","0","0",NA,NA,NA,NA,"27.8225806451613",NA,NA,NA,NA
"ANTODO","ANTODO",NA,"587","0","0",NA,NA,NA,NA,"22.5428571428571",NA,NA,NA,NA
"APHARV","APHARV",NA,"72","0","0",NA,NA,NA,NA,"27.1463414634146",NA,NA,NA,NA
"ARRELA","ARRELA",NA,"28","0","0",NA,NA,NA,NA,"21.75",NA,NA,NA,NA
"ASPFLB","ASPFLB",NA,"56","0","0",NA,NA,NA,NA,"30.425",NA,NA,NA,NA
"BELPER","BELPER",NA,"135","0","0",NA,NA,NA,NA,"21.4426229508197",NA,NA,NA,NA
"BRODIA","BRODIA",NA,"52","0","0",NA,NA,NA,NA,"26.2142857142857",NA,NA,NA,NA
"BROHOR","BROHOR",NA,"438","0","0",NA,NA,NA,NA,"22.6962025316456",NA,NA,NA,NA
"CALTUG","CALTUG",NA,"29","0","0",NA,NA,NA,NA,"26.6428571428571",NA,NA,NA,NA
"CARBRE","CARBRE",NA,"69","0","0",NA,NA,NA,NA,"30.5365853658537",NA,NA,NA,NA
"CARPYC","CARPYC",NA,"189","0","0",NA,NA,NA,NA,"25.7637795275591",NA,NA,NA,NA
"CERFSV","CERFSV",NA,"427","0","0",NA,NA,NA,NA,"23.3906976744186",NA,NA,NA,NA
"CERGLO","CERGLO",NA,"197","0","0",NA,NA,NA,NA,"25.5051546391753",NA,NA,NA,NA
"CIRARV","CIRARV",NA,"102","0","0",NA,NA,NA,NA,"24.3181818181818",NA,NA,NA,NA
"CIRVUL","CIRVUL",NA,"415","0","0",NA,NA,NA,NA,"23.1553398058252",NA,NA,NA,NA
"COPPAR","COPPAR",NA,"28","0","0",NA,NA,NA,NA,"29.5333333333333",NA,NA,NA,NA
"CRASIE","CRASIE",NA,"54","0","0",NA,NA,NA,NA,"29.8947368421053",NA,NA,NA,NA
"CRECAP","CRECAP",NA,"511","0","0",NA,NA,NA,NA,"22.5079365079365",NA,NA,NA,NA
"CRIMUR","CRIMUR",NA,"114","0","0",NA,NA,NA,NA,"23.1323529411765",NA,NA,NA,NA
"CYNCRI","CYNCRI","4","547","166","0.303473491773309","3.57414694765184","2.85386489779342","2.13175063428779","5.43820224719101","23.438202247191","0.152492367373449","0.121761254028578","0.2320230105465","0.0369513129227496"
"CYNECH","CYNECH",NA,"66","0","0",NA,NA,NA,NA,"24.4333333333333",NA,NA,NA,NA
"DACGLO","DACGLO","5","611","50","0.0818330605564648","4.74933119315142","4.07123595505618","3.05409309791332","6.44456928838951","22.5112359550562","0.210976030042663","0.180853506363863","0.286282339239664","0.014799795938123"
"DICREP","DICREP",NA,"132","0","0",NA,NA,NA,NA,"27.4",NA,NA,NA,NA
"DIGPUR","DIGPUR",NA,"73","0","0",NA,NA,NA,NA,"27.8039215686275",NA,NA,NA,NA
"ELYREC","ELYREC",NA,"291","0","0",NA,NA,NA,NA,"25.5555555555556",NA,NA,NA,NA
"FESCOM","FESCOM","5","30","5","0.166666666666667","8.35555555555556","8.35555555555556","8.35555555555556","8.35555555555556","26.5555555555556","0.314644351464435","0.314644351464435","0.314644351464435","0.0524407252440725"
"FESNOV","FESNOV",NA,"57","0","0",NA,NA,NA,NA,"28.4761904761905",NA,NA,NA,NA
"GERMIC","GERMIC",NA,"48","0","0",NA,NA,NA,NA,"32.4285714285714",NA,NA,NA,NA
"GERMOL","GERMOL",NA,"143","0","0",NA,NA,NA,NA,"25.7340425531915",NA,NA,NA,NA
"GNAAUD","GNAAUD",NA,"88","0","0",NA,NA,NA,NA,"28.5166666666667",NA,NA,NA,NA
"HELBEL","HELBEL",NA,"35","0","0",NA,NA,NA,NA,"29.6363636363636",NA,NA,NA,NA
"HELFIL","HELFIL",NA,"124","0","0",NA,NA,NA,NA,"26.0185185185185",NA,NA,NA,NA
"HOLLAN","HOLLAN",NA,"615","0","0",NA,NA,NA,NA,"23.03",NA,NA,NA,NA
"HYDMON","HYDMON",NA,"92","0","0",NA,NA,NA,NA,"29.5161290322581",NA,NA,NA,NA
"HYPGLA","HYPGLA",NA,"48","0","0",NA,NA,NA,NA,"27.7407407407407",NA,NA,NA,NA
"HYPRAD","HYPRAD",NA,"658","0","0",NA,NA,NA,NA,"22.1006289308176",NA,NA,NA,NA
"JUNDIS","JUNDIS",NA,"154","0","0",NA,NA,NA,NA,"25.2650602409639",NA,NA,NA,NA
"JUNEDG","JUNEDG",NA,"45","0","0",NA,NA,NA,NA,"26.2",NA,NA,NA,NA
"LEOTAR","LEOTAR",NA,"95","0","0",NA,NA,NA,NA,"21.2941176470588",NA,NA,NA,NA
"LINBIE","LINBIE",NA,"39","0","0",NA,NA,NA,NA,"22.7407407407407",NA,NA,NA,NA
"LOLPER","LOLPER","5","671","160","0.238450074515648","3.28330721003135","2.86875","2.36206896551724","4.20454545454545","22.5","0.145924764890282","0.1275","0.186868686868687","0.0304023845007452"
"MICUNI","MICUNI",NA,"83","0","0",NA,NA,NA,NA,"25.1896551724138",NA,NA,NA,NA
"MUECOM","MUECOM",NA,"116","0","0",NA,NA,NA,NA,"27.3833333333333",NA,NA,NA,NA
"OXAEXI","OXAEXI",NA,"214","0","0",NA,NA,NA,NA,"26.4423076923077",NA,NA,NA,NA
"PHLPRA","PHLPRA",NA,"52","0","0",NA,NA,NA,NA,"19.0357142857143",NA,NA,NA,NA
"PLALAN","PLALAN",NA,"256","0","0",NA,NA,NA,NA,"21.2244897959184",NA,NA,NA,NA
"POAANN","POAANN",NA,"53","0","0",NA,NA,NA,NA,"23.4722222222222",NA,NA,NA,NA
"POACIT","POACIT",NA,"248","0","0",NA,NA,NA,NA,"26.9636363636364",NA,NA,NA,NA
"POAPRA","POAPRA","4","306","9","0.0294117647058824","2.12056737588652","2.75945626477541","4.03723404255319","4.03723404255319","22.5372340425532","0.0940917315710802","0.122439881467495","0.179136181260326","0.0036011729843381"
"PTEESC","PTEESC",NA,"55","0","0",NA,NA,NA,NA,"25.9642857142857",NA,NA,NA,NA
"RANREP","RANREP",NA,"25","0","0",NA,NA,NA,NA,"18.9",NA,NA,NA,NA
"RUMACE","RUMACE",NA,"258","0","0",NA,NA,NA,NA,"25.7067669172932",NA,NA,NA,NA
"RYTCAE","RYTCAE","5","41","8","0.195121951219512","5.16176470588235","4.78676470588235","4.41176470588235","5.91176470588235","26.4117647058824","0.19543429844098","0.181236080178174","0.223830734966592","0.0353631375957412"
