"","sp","th","prevalence","n.plot.impact","prop.plot.impact","mean.dif","wtd.mean.dif","th.dif","max.dif","SRo","prop.mean.dif","prop.wtd.mean","prop.max.dif","impact.index"
"ACHMIL","ACHMIL","2","233","171","0.733905579399142","2.06327977841261","1.78947368421053","1.45098039215686","3.35714285714286","4","0.515819944603152","0.447368421052632","0.839285714285714","0.328326180257511"
"AGRCAP","AGRCAP",NA,"305","0","0",NA,NA,NA,NA,"5.27450980392157",NA,NA,NA,NA
"AGRSTO","AGRSTO",NA,"56","0","0",NA,NA,NA,NA,"3.8695652173913",NA,NA,NA,NA
"AIRCAR","AIRCAR",NA,"123","0","0",NA,NA,NA,NA,"7.67741935483871",NA,NA,NA,NA
"ANTODO","ANTODO","6","587","11","0.0187393526405451","2.09523809523809","2.09523809523809","2.09523809523809","2.09523809523809","4.09523809523809","0.511627906976744","0.511627906976744","0.511627906976744","0.00958757576958123"
"APHARV","APHARV",NA,"72","0","0",NA,NA,NA,NA,"6.68292682926829",NA,NA,NA,NA
"ARRELA","ARRELA",NA,"28","0","0",NA,NA,NA,NA,"3",NA,NA,NA,NA
"ASPFLB","ASPFLB",NA,"56","0","0",NA,NA,NA,NA,"9.15",NA,NA,NA,NA
"BELPER","BELPER",NA,"135","0","0",NA,NA,NA,NA,"3.09836065573771",NA,NA,NA,NA
"BRODIA","BRODIA",NA,"52","0","0",NA,NA,NA,NA,"5.46428571428571",NA,NA,NA,NA
"BROHOR","BROHOR",NA,"438","0","0",NA,NA,NA,NA,"4.13291139240506",NA,NA,NA,NA
"CALTUG","CALTUG",NA,"29","0","0",NA,NA,NA,NA,"6.21428571428571",NA,NA,NA,NA
"CARBRE","CARBRE",NA,"69","0","0",NA,NA,NA,NA,"11.1707317073171",NA,NA,NA,NA
"CARPYC","CARPYC",NA,"189","0","0",NA,NA,NA,NA,"5.43307086614173",NA,NA,NA,NA
"CERFSV","CERFSV",NA,"427","0","0",NA,NA,NA,NA,"5.13953488372093",NA,NA,NA,NA
"CERGLO","CERGLO",NA,"197","0","0",NA,NA,NA,NA,"5.50515463917526",NA,NA,NA,NA
"CIRARV","CIRARV",NA,"102","0","0",NA,NA,NA,NA,"4.38636363636364",NA,NA,NA,NA
"CIRVUL","CIRVUL",NA,"415","0","0",NA,NA,NA,NA,"4.3495145631068",NA,NA,NA,NA
"COPPAR","COPPAR",NA,"28","0","0",NA,NA,NA,NA,"15.6",NA,NA,NA,NA
"CRASIE","CRASIE",NA,"54","0","0",NA,NA,NA,NA,"9.07894736842105",NA,NA,NA,NA
"CRECAP","CRECAP",NA,"511","0","0",NA,NA,NA,NA,"4.26455026455026",NA,NA,NA,NA
"CRIMUR","CRIMUR",NA,"114","0","0",NA,NA,NA,NA,"3.67647058823529",NA,NA,NA,NA
"CYNCRI","CYNCRI","5","547","104","0.190127970749543","2.07914851333792","1.64887640449438","1.59275395551479","2.56554307116105","4.89887640449438","0.424413343318979","0.336582568807339","0.523700305810398","0.0639937607970079"
"CYNECH","CYNECH",NA,"66","0","0",NA,NA,NA,NA,"4.3",NA,NA,NA,NA
"DACGLO","DACGLO","6","611","15","0.0245499181669394","3.22284644194757","3.22284644194757","3.22284644194757","3.22284644194757","4.5561797752809","0.707357172215372","0.707357172215372","0.707357172215372","0.0173655606926851"
"DICREP","DICREP",NA,"132","0","0",NA,NA,NA,NA,"7.7875",NA,NA,NA,NA
