"","species","th.CI","prevalence","n.plot.impact","n.plot.dominant","th","aRc.old","aRo.old","aRo","aRc","aRo.sd","aRc.sd","aRnull","aRsdnull","alpha.loss","aR.P","deltaalpha","deltaalpha.null","deltaalpha.z.permute.all","aR.t","aR.df","aR.Pt","GRo","GRc","GRnull","GRsdnull","gamma.loss","deltagamma","delta.z.permute.all","delta.null.permute.all","GRP.permute.all","BRo","BRc"
"ACHMIL","Achillea_millefolium","2","166","120"," 0","2","2.464286","4.913043","4.119403","2.364130","3.382318","3.101739","2.831707","0.12405215"," 0.46757609","0.0005","-0.2805789","-0.0018534920","-0.6037668"," 3.7167112","108.926652","3.204859e-04"," 70"," 92"," 94.032"," 4.162247","  2.032","  22","-0.9353931","  31.891","0.1745","0.9411514","0.9743029"
"CARPYC","Carduus_pycnocephalus","2","161"," 51"," 1","2","5.333333","6.281818","5.640288","4.132353","4.478624","3.463690","5.121985","0.42755523"," 0.98963235","0.0125","-1.0149345","-0.0326905407","-1.5460480"," 2.6626365","167.136562","8.510737e-03","103"," 57"," 70.722"," 6.643256"," 13.722"," -46","-2.0230593"," -23.404","0.0065","0.9452399","0.9275026"
"CARTEN","Carduus_tenuiflorus","3"," 24","  5"," 0","3","7.200000","6.461538","5.521739","6.166667","5.953376","3.250641","5.640667","2.00283183","-0.52600000","0.6585","-2.7027352","-0.0189537363","-1.0622581","-0.3549081"," 14.972865","7.276080e-01"," 55"," 20"," 22.449"," 8.664899","  2.449"," -35","-0.3527831"," -29.897","0.4605","0.8996047","0.6916667"
"HOLLAN","Holcus_lanatus","3","502","341"," 3","3","6.046809","7.146667","5.311688","5.040449","5.649763","5.081603","5.133515","0.14448223"," 0.09306517","0.2545","-0.5681602"," 0.0013802995","-1.3466301"," 0.6123389","424.918147","5.406411e-01","183","188","203.898"," 8.992022"," 15.898","   5","-1.8457410","  43.148","0.0320","0.9709744","0.9731891"
"HYPRAD","Hypochaeris_radicata","3","542","279"," 0","3","6.760684","4.424000","4.299720","6.032345","4.529222","5.785726","5.185202","0.18912629","-0.84714286","0.9995"," 1.2565045"," 0.0033888865"," 3.2807155","-4.5084708","697.371471","7.658069e-06","171","200","193.003"," 9.900859"," -6.997","  29"," 1.3093256","   3.112","0.9010","0.9748554","0.9698383"
"LOLPER","Lolium_perenne","3","521","352","23","3","5.448980","6.337500","5.566372","3.858546","4.412862","3.919921","4.383261","0.10219675"," 0.52471513","0.0005","-0.4929415"," 0.0003677200","-1.5034838"," 5.0067265","389.121320","8.408428e-07","141","152","166.592"," 5.460160"," 14.592","  11","-2.4115212","  41.627","0.0105","0.9605222","0.9746148"
"PHLPRA","Phleum_pratense","3"," 29","  8"," 0","3","1.000000","2.866667","1.928571","1.416667","2.393007","1.831955","1.803083","0.57187754"," 0.38641667","0.2695","-0.5610512","-0.0145860146","-0.7430139"," 0.7936589"," 22.880769","4.355480e-01"," 37"," 14"," 15.500"," 4.750639","  1.500"," -23","-0.6119234"," -18.438","0.2795","0.9478764","0.8988095"
"TRIPRA","Trifolium_pratense","3"," 68"," 27"," 0","3","3.863636","1.818182","1.655172","2.939394","2.056668","3.381377","2.135364","0.36468755","-0.80403030","0.9800"," 1.3247088"," 0.0214629468"," 2.2821004","-1.9830015"," 45.751026","5.338944e-02"," 36"," 40"," 32.331"," 6.061037"," -7.669","   4"," 1.4639497"," -12.146","0.9200","0.9540230","0.9265152"
"TRIREP","Trifolium_repens","3","520","429"," 0","3","6.274419","8.611111","7.136000","4.429752","6.857235","4.690109","4.892719","0.09183416"," 0.46296694","0.0005","-2.1671260"," 0.0001854416","-4.0915533"," 4.2134573","148.843290","4.341188e-05","155","200","222.960"," 6.205232"," 22.960","  45","-3.1100062"," 101.974","0.0025","0.9539613","0.9778512"
"CYNCRI","Cynosurus_cristatus","4","439","125"," 3","4","4.408163","6.134328","5.463007","3.664835","5.256615","3.770015","4.896533","0.30988716"," 1.23169780","0.0005","-1.4866003","-0.0296961705","-3.3022834"," 4.7379254","470.489307","2.863871e-06","189"," 94","128.762","10.776060"," 34.762"," -95","-2.7260555"," -46.380","0.0015","0.9710952","0.9610124"
"DACGLO","Dactylis_glomerata","4","506"," 75","11","4","3.531250","5.698529","5.528399","3.166667","5.197941","3.785475","5.160948","0.47863454"," 1.99428125","0.0005","-1.4124653","-0.0356054742","-2.4892372"," 5.3377076","160.856363","3.157536e-07","218"," 83","108.934","12.305083"," 25.934","-135","-1.6587942","-107.242","0.0345","0.9746404","0.9618474"
"TRISTT","Trifolium_striatum","4","182"," 21"," 0","4","3.875000","6.038961","5.666667","3.777778","4.272447","2.606697","5.452778","0.77375399"," 1.67500000","0.0135","-1.6657499"," 0.0164255164","-1.9167066"," 3.2212178"," 47.693486","2.301368e-03","112"," 31"," 45.643"," 8.608581"," 14.643"," -81","-1.4649992"," -63.040","0.0280","0.9494048","0.8781362"
"CYNECH","Cynosurus_echinatus","5"," 58","  5"," 0","5","9.000000","4.840000","5.164179","8.500000","3.608059","3.146427","5.359333","1.47275015","-3.14066667","0.9830","-0.4616327","-0.0895248482","-0.2323090","-2.4563314","  6.240354","4.782467e-02"," 57"," 32"," 18.644"," 5.135137","-13.356"," -25"," 2.8537487"," -45.061","0.9910","0.9094004","0.7343750"
"ANTODO","Anthoxanthum_odoratum","6","494","  9"," 9","6","2.222222","5.170732","5.552262","2.000000","5.438649","1.651446","5.416667","1.50782540"," 3.41666667","0.0065","-3.7872035","-0.0681487520","-2.4262132"," 6.7934708"," 15.909025","4.447472e-06","240"," 12"," 38.179","11.181502"," 26.179","-228","-2.2152466","-200.436","0.0005","0.9768656","0.8333333"
