"","sp","th","prevalence","n.plot.impact","prop.plot.impact","mean.dif","wtd.mean.dif","th.dif","max.dif","SRo","prop.mean.dif","prop.wtd.mean","prop.max.dif","impact.index"
"ACHMIL","ACHMIL","2","178","129","0.724719101123595","2.65107285755737","2.2213768115942","2.44875776397515","4.07971014492754","4.91304347826087","0.539598900210793","0.452138643067847","0.830383480825959","0.327673510987372"
"AGRCAP","AGRCAP",NA,"235","0","0",NA,NA,NA,NA,"6.42857142857143",NA,NA,NA,NA
"AGRSTO","AGRSTO",NA,"36","0","0",NA,NA,NA,NA,"4.11764705882353",NA,NA,NA,NA
"AIRCAR","AIRCAR",NA,"115","0","0",NA,NA,NA,NA,"8.18333333333333",NA,NA,NA,NA
"ANTODO","ANTODO","6","494","9","0.0182186234817814","2.94850948509485","2.94850948509485","2.94850948509485","2.94850948509485","5.17073170731707","0.570230607966457","0.570230607966457","0.570230607966457","0.0103888167443282"
"APHARV","APHARV",NA,"67","0","0",NA,NA,NA,NA,"7.71794871794872",NA,NA,NA,NA
"ARRELA","ARRELA",NA,"18","0","0",NA,NA,NA,NA,"4.75",NA,NA,NA,NA
"ASPFLB","ASPFLB",NA,"51","6","0.117647058823529",NA,NA,NA,NA,"9.775",NA,NA,NA,NA
"BELPER","BELPER",NA,"94","0","0",NA,NA,NA,NA,"4.90697674418605",NA,NA,NA,NA
"BRODIA","BRODIA",NA,"43","0","0",NA,NA,NA,NA,"6.42307692307692",NA,NA,NA,NA
"BROHOR","BROHOR",NA,"349","0","0",NA,NA,NA,NA,"4.97345132743363",NA,NA,NA,NA
"CALTUG","CALTUG",NA,"30","0","0",NA,NA,NA,NA,"6.35714285714286",NA,NA,NA,NA
"CARBRE","CARBRE",NA,"63","0","0",NA,NA,NA,NA,"11.3",NA,NA,NA,NA
"CARPYC","CARPYC",NA,"162","0","0",NA,NA,NA,NA,"6.28181818181818",NA,NA,NA,NA
"CARTEN","CARTEN",NA,"20","0","0",NA,NA,NA,NA,"6.46153846153846",NA,NA,NA,NA
"CERFSV","CERFSV",NA,"378","0","0",NA,NA,NA,NA,"6.13636363636364",NA,NA,NA,NA
"CERGLO","CERGLO",NA,"166","0","0",NA,NA,NA,NA,"6.77631578947368",NA,NA,NA,NA
"CIRARV","CIRARV",NA,"78","0","0",NA,NA,NA,NA,"6.03571428571429",NA,NA,NA,NA
"CIRVUL","CIRVUL",NA,"327","0","0",NA,NA,NA,NA,"5.21702127659574",NA,NA,NA,NA
"CONVER","CONVER",NA,"33","0","0",NA,NA,NA,NA,"6.55555555555556",NA,NA,NA,NA
"COPPRO","COPPRO",NA,"18","0","0",NA,NA,NA,NA,"15.5",NA,NA,NA,NA
"CRASIE","CRASIE",NA,"54","0","0",NA,NA,NA,NA,"9.76315789473684",NA,NA,NA,NA
"CRECAP","CRECAP",NA,"427","0","0",NA,NA,NA,NA,"5.59574468085106",NA,NA,NA,NA
"CRIMUR","CRIMUR",NA,"95","0","0",NA,NA,NA,NA,"4.16363636363636",NA,NA,NA,NA
"CYNCRI","CYNCRI","4","445","130","0.292134831460674","2.09720848742959","1.77432835820896","1.72616509290283","2.80099502487562","6.13432835820895","0.341880702330372","0.289245742092457","0.456609894566099","0.0844987561168977"
"CYNECH","CYNECH",NA,"56","0","0",NA,NA,NA,NA,"4.84",NA,NA,NA,NA
"DACGLO","DACGLO","4","508","72","0.141732283464567","2.50724153297683","2.07186274509804","2.16727941176471","4.06216577540107","5.69852941176471","0.439980449657869","0.363578494623656","0.712844574780059","0.0515308102616205"
"DICREP","DICREP",NA,"114","0","0",NA,NA,NA,NA,"8.21333333333333",NA,NA,NA,NA
"DIGPUR","DIGPUR",NA,"79","0","0",NA,NA,NA,NA,"8.39285714285714",NA,NA,NA,NA
"ELYREC","ELYREC",NA,"261","0","0",NA,NA,NA,NA,"7.61111111111111",NA,NA,NA,NA
"FESNOV","FESNOV",NA,"57","0","0",NA,NA,NA,NA,"11.9090909090909",NA,NA,NA,NA
"GERMIC","GERMIC",NA,"45","0","0",NA,NA,NA,NA,"15.5142857142857",NA,NA,NA,NA
