"","SurveyName","SurveyStartYear","SurveyEndYear","PlotName","PlotFK","SpeciesCode","SpeciesName","HeightClassDescription","DominanceClass","DominanceClassDescription","DominanceRank","SpeciesType","domlevels","abun","SpeciesCode.tmp"
"18","Banks Peninsula Botanical Survey",1983,1988,"1",94056,"BRYARG","BRYUM ARGENTEUM","No Height Class","C","Occasional",18,"Non-Vascular",6,1,"BRYARG"
"43","Banks Peninsula Botanical Survey",1983,1988,"2",94920,"LICHEN","LICHEN SPECIES","No Height Class","A","Abundant",19,"Non-Vascular",2,5,"LICHEN"
"44","Banks Peninsula Botanical Survey",1983,1988,"2",94920,"TEPATR","Tephromela atra (Huds.) Hafellner","No Height Class","B","Common",20,"Non-Vascular",4,3,"TEPATR"
"45","Banks Peninsula Botanical Survey",1983,1988,"2",94920,"NEOFUS","Neofuscelia Essl.","No Height Class","B","Common",21,"Non-Vascular",4,3,"NEOFUS"
"46","Banks Peninsula Botanical Survey",1983,1988,"2",94920,"XANTHO","Xanthoparmelia (Vain.) Hale","No Height Class","B","Common",22,"Non-Vascular",4,3,"XANTHO"
"53","Banks Peninsula Botanical Survey",1983,1988,"2",94920,"PARMEL","Parmelia Ach.","No Height Class","C","Occasional",29,"Non-Vascular",6,1,"PARMEL"
"59","Banks Peninsula Botanical Survey",1983,1988,"2",94920,"GRIMMI","Grimmia Hedw.","No Height Class","C","Occasional",35,"Non-Vascular",6,1,"GRIMMI"
"120","Banks Peninsula Botanical Survey",1983,1988,"5",94592,"TORMUR","Tortula muralis Hedw.","No Height Class","C","Occasional",1,"Non-Vascular",6,1,"TORMUR"
"121","Banks Peninsula Botanical Survey",1983,1988,"5",94592,"FUNHYG","Funaria hygrometrica Hedw.","No Height Class","C","Occasional",2,"Non-Vascular",6,1,"FUNHYG"
"122","Banks Peninsula Botanical Survey",1983,1988,"5",94592,"CALOPL","CALOPLACA SPECIES","No Height Class","B-C","Common-Occasional",3,"Non-Vascular",5,2,"CALOPL"
"128","Banks Peninsula Botanical Survey",1983,1988,"5",94592,"ALGA","Alga","No Height Class","C","Occasional",9,"Non-Vascular",6,1,"ALGA"
"129","Banks Peninsula Botanical Survey",1983,1988,"5",94592,"LECIDE","Lecidea Ach.","No Height Class","C","Occasional",10,"Non-Vascular",6,1,"LECIDE"
"197","Banks Peninsula Botanical Survey",1983,1988,"7",94110,"PAPSOM","Papaver somniferum L.","No Height Class","C","Occasional",20,"Vascular",6,1,"PAPSOM"
"213","Banks Peninsula Botanical Survey",1983,1988,"7",94110,"LUPARB","LUPINUS ARBOREUS","No Height Class","C","Occasional",36,"Vascular",6,1,"LUPARB"
"231","Banks Peninsula Botanical Survey",1983,1988,"8",94290,"MOSS","MOSS SPECIES","No Height Class","B-C","Common-Occasional",8,"Non-Vascular",5,2,"MOSS"
