"","species","resid.df","%dev.best","DeltaAIC.best","P.best","best","elev.OR","slope.OR","north.OR","SRali.OR","elev.P","slope.P","north.P","SRali.P"
"ACHMIL","Achillea millefolium L.","161","0.0129832891283079","3.76126456263063","0.016383276523502","~ as.factor(abun) north","1.00013302629814","1.01112618441416","1.71574423199344","1.00958766587554","0.882024932844988","0.487442844786442","0.0135042609322988","0.804690307445757"
"AGRCAP","Agrostis capillaris L.","219","0.0210609367293356","8.90346847605201","0.00190102779726775","~ as.factor(abun) elev + slope + SRali","0.998661716473803","1.04222998225379","1.01895664847603","0.905537861738635","0.0522589475765391","0.00261476883039079","0.917741651580673","0.00274975122217445"
"AGRSTO","Agrostis stolonifera L.","29","0.065170685888464","1.88550047300026","0.0527205352313272","~ as.factor(abun) slope + SRali","0.997959201177505","0.95988549344889","1.47231475662817","0.889380324229309","0.433933238794947","0.262376759227841","0.456822748770802","0.11149566192305"
"AIRCAR","Aira caryophyllea L.","111","0","0","1","~ as.factor(abun) 1","1.00069817343328","1.00819280697787","0.784228637059231","1.05466437925429","0.525981927462608","0.610294390653565","0.422228915838854","0.231665354850348"
"ANTODO","Anthoxanthum odoratum L.","487","0.0263362990549698","36.7125718615569","1.44336886886975e-09","~ as.factor(abun) elev + north","1.0023317469916","1.00425647234115","0.627006937342539","0.990425984765784","2.14401388794058e-06","0.614692011014579","0.000186747021547281","0.622147034626172"
"APHARV","Aphanes arvensis L.","64","0.0138708637601341","0.0525022396661825","0.151956266853767","~ as.factor(abun) SRali","1.00016767168387","0.993282426016804","0.912197412242593","1.09084781450306","0.918004085692776","0.794081504848227","0.825876041933094","0.182165125443287"
"ARRELA","Arrhenatherum elatius (L.) J.Presl & C.Presl","18","0.0649659620721436","0.938633553871945","0.0864838662234493","~ as.factor(abun) elev","0.993930389703587","0.974870782223179","0.591396684710567","1.10776035815333","0.106526065683672","0.562562644214162","0.480767888430596","0.40219303739926"
"BELPER","Bellis perennis L.","87","0","0","1","~ as.factor(abun) 1","1.00050509272216","1.00563051663867","0.749477733223553","0.98578055255755","0.691586913430391","0.796742413350559","0.323364175263374","0.801008151276165"
"BRODIA","Bromus diandrus Roth","40","0","0","1","~ as.factor(abun) 1","0.995562948289466","1.03569356103737","1.33899685003459","0.99738192040881","0.147317030856793","0.185052090235177","0.647303021265767","0.965093356706605"
"BROHOR","Bromus hordeaceus L.","344","0.0107536066996778","5.55466228356056","0.00841843662649566","~ as.factor(abun) elev + SRali","0.998607317543367","1.00841635219064","0.933493662855352","1.04869288571771","0.0342832297899759","0.378689647634416","0.650590531594157","0.0317093546209606"
"CARPYC","Carduus pycnocephalus L.","155","0.0108695160196496","1.29042172976068","0.0696851214236921","~ as.factor(abun) SRali","0.999474018883108","1.00842769453029","1.3623150620054","1.06660137433553","0.692705030186685","0.598288228707811","0.294832586179843","0.0700213265229613"
"CARTEN","Carduus tenuiflorus Curtis","21","0.118797092823096","3.73343375017195","0.0166449057090411","~ as.factor(abun) SRali","1.0016527562285","0.991529703770212","1.08639610966231","1.29176992634733","0.582903989108225","0.816014009553569","0.906957583184535","0.0353407318881743"
"CERFSV","Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet","367","0.0269178920309812","15.2194918386","9.47845352118337e-05","~ as.factor(abun) elev + north + SRali","1.00246807150364","0.995203107668131","0.624339762438568","1.03947340852253","0.000161501215503005","0.629782981349208","0.00220981434549988","0.132388057650847"
"CERGLO","Cerastium glomeratum Thuill.","163","0.0153931773177309","4.09148360415838","0.0135834981655685","~ as.factor(abun) elev","1.00212660044582","0.992594240019697","1.3803889136715","1.05055551111484","0.0201251036161337","0.6211633377339","0.184612091390134","0.164626677924521"
"CIRARV","Cirsium arvense (L.) Scop.","69","0","0","1","~ as.factor(abun) 1","1.0012987115982","0.965977369454377","0.650328952386159","1.00198418771092","0.34715749933655","0.13907977016819","0.207277257690702","0.970011076784682"
"CIRVUL","Cirsium vulgare (Savi) Ten.","314","0.0133941566719127","4.37289037332459","0.0115876708206022","~ as.factor(abun) north","0.998797858011012","1.00254099627382","1.7113282185372","1.00546598239636","0.172621792980097","0.844494909055542","0.0150236580890143","0.85343836148311"
"CRECAP","Crepis capillaris (L.) Wallr.","415","0.0251617163461345","16.9258619161628","5.20663909669983e-05","~ as.factor(abun) elev + slope + north + SRali","1.00136705360017","1.0216247978521","0.65824033862542","1.05427986724487","0.0156785846336582","0.021849535708865","0.00248279854203677","0.0171416264656379"
"CRIMUR","Critesion murinum (L.) ç.L_ve","85","0.0138164325641003","0.750419164485322","0.0972289360094298","~ as.factor(abun) slope","0.999419951137668","0.97873050558161","1.3297453617674","0.956003652174789","0.692259407604399","0.348511242028902","0.418908991629719","0.288784116811069"
"CYNCRI","Cynosurus cristatus L.","433","0.00763533750712552","8.23783863398626","0.00137588710853964","~ as.factor(abun) north","0.999833860448213","0.990870056221884","0.663559062767864","0.978477990579023","0.753682819679362","0.326411822008386","0.00195705048544689","0.316739805100069"
"CYNECH","Cynosurus echinatus L.","54","0","0","1","~ as.factor(abun) 1","0.995556767468105","1.02711838534634","1.65003854740366","1.0620163953681","0.112868744210068","0.278244298962434","0.263458306860244","0.30104110142171"
"DACGLO","Dactylis glomerata L.","500","0.00278748145498896","2.22055253507006","0.0399371537078936","~ as.factor(abun) SRali","1.00038893188572","1.0052032326201","0.910863655023211","0.967718007690496","0.409008551059833","0.506342242387931","0.44713147083475","0.0776823329604663"
"DIGPUR","Digitalis purpurea L.","75","0.102473298595336","10.6162795138508","0.000382401690072975","~ as.factor(abun) SRali","1.00078499335946","1.01513684395885","1.35507072732807","1.21558087796859","0.718252921491385","0.491771192435847","0.491159181542903","0.00358377172836955"
"ELYREC","Elymus rectisetus (Nees) ç.L_ve & Connor","254","0","0","1","~ as.factor(abun) 1","0.999900951357602","1.01316309290648","1.11102741679199","1.01701919358008","0.880916039931143","0.23899997284095","0.557972096793685","0.509200036628307"
"GERMOL","Geranium molle L. ","126","0.0548628167924254","10.4065721045669","0.000744136514833627","~ as.factor(abun) north + SRali","0.998529777257741","0.998671894126308","0.401418416342346","1.12113247290465","0.324529203437539","0.943877427580966","0.00431805895811133","0.0113091695159476"
"HOLLAN","Holcus lanatus L.","494","0.0140913367340991","14.3638295417034","0.000142679183385841","~ as.factor(abun) elev + slope + SRali","1.00149153501664","0.979395862667669","0.928346160242307","0.973556414136412","0.00239824509816915","0.0125539688219225","0.557729580641968","0.182566633921802"
"HYPGLA","Hypochaeris glabra L.","44","0","0","1","~ as.factor(abun) 1","1.00073782913569","1.03031685236516","0.859450821390564","0.96431518731601","0.688273103869269","0.228230475042553","0.776082026936635","0.633721466969051"
"HYPRAD","Hypochaeris radicata L.","535","0.0183988334495684","20.1853031113803","8.72223770143066e-06","~ as.factor(abun) elev + slope + north","1.00177930880738","1.01232743106595","0.792173874777538","0.994775968754436","0.00012501934056324","0.125075164679402","0.0528175065534816","0.778370058262492"
"LEOTAR","Leontodon saxatilis Lamarck","45","0.0261005467897273","1.1035400520025","0.0781222450933451","~ as.factor(abun) elev","0.995347334304889","0.982201816632022","0.99754699816303","0.997570700098178","0.098858921835968","0.631907036984279","0.995554617337165","0.978264383538098"
"LOLPER","Lolium perenne L.","514","0.0129360083154655","17.7836337632946","1.86098996116657e-05","~ as.factor(abun) elev + slope","0.999221797067059","0.963100586700782","0.978131467995864","1.02460686622517","0.114908032488896","1.03170842778645e-05","0.8558639061324","0.187513021282299"
"PHLPRA","Phleum pratense L.","25","0","0","1","~ as.factor(abun) 1","0.995341371511695","1.00907562417685","1.8648327644184","0.900931393810485","0.121772493366723","0.826469996858612","0.284824348497393","0.457410513669701"
"PLALAN","Plantago lanceolata L.","158","0.0199487999528218","3.64179722844273","0.0219081051113155","~ as.factor(abun) elev + north","0.998191266288894","1.01326035716688","1.56539312872711","1.0175141645006","0.067924440453064","0.425309313323935","0.0402719712624461","0.652123984332048"
"POAPRA","Poa pratensis L.","231","0.0234979101917473","5.31614709296343","0.0101336067544113","~ as.factor(abun) slope + north + SRali","0.999422277859201","0.954862155510364","0.716231789535438","1.07604375438244","0.468101724055783","0.00453169707823075","0.0926290952834253","0.0245156751185125"
"POLTET","Polycarpon tetraphyllum L.","47","0","0","1","~ as.factor(abun) 1","1.00232269102419","1.01080668680057","0.635895288520303","1.01697142280983","0.449221550746751","0.651580906183796","0.464738832787879","0.806139273793718"
"RUMACE","Rumex acetosella L.","230","0.00433182872783195","0.262865364250615","0.132508683762152","~ as.factor(abun) SRali","1.00037462319903","0.998481500760854","1.19519218682832","1.04932660336185","0.601920021567822","0.899702966439738","0.370945843305336","0.126286405259279"
"RYTCAE","Rytidosperma caespitosum (Gaudich.) Connor & Edgar","33","0.0545830162060948","4.71286643678781","0.00957197407293564","~ as.factor(abun) north","0.997339116327027","1.01022732145415","2.76239234157918","0.990131252635156","0.28572203761517","0.73189289582076","0.0349733278867742","0.882939261629319"
"RYTRAC","Rytidosperma racemosum (R.Br.) Connor & Edgar","92","0.0646165309847332","14.798947732471","0.000115897748077853","~ as.factor(abun) elev + slope + SRali","0.995064682504902","1.04481749848703","1.39915591450005","0.922075283689525","0.000403818990763132","0.016948045180511","0.295808950472435","0.0398518665109712"
"SILGAL","Silene gallica L.","93","0.0143298009343765","0.74772054027855","0.0973931865192628","~ as.factor(abun) slope","0.997493491615871","1.03248454797484","1.02927846893555","1.05289285017888","0.198044103525565","0.0694629342550556","0.942579444075732","0.243099973689405"
"STEMED","Stellaria media (L.) Vill.","77","0.0426001933190779","2.36918574417263","0.0413950954696078","~ as.factor(abun) elev + north","1.00270983108273","0.985828671773093","0.472942019976072","0.987783659226482","0.128038515551803","0.559300088878331","0.057897715315426","0.833132562579647"
"TAROFF","Taraxacum officinale F.H.Wigg.","167","0.0414763577422879","6.76099322706261","0.00460553419138054","~ as.factor(abun) elev + SRali","0.997595454344778","1.00586147601066","0.818539860054466","0.884226596610772","0.0238057260221268","0.786542865023716","0.435653342415341","0.0129489003513132"
"TRIDUB","Trifolium dubium Sibth.","399","0.0108827359332361","6.02106549712653","0.00731134627262664","~ as.factor(abun) elev + north + SRali","1.00089621079806","1.00279229668792","0.687034886714561","1.05978698941875","0.0962405730504836","0.759516444767176","0.0102153950265548","0.0112181913391709"
"TRIGLO","Trifolium glomeratum L.","189","0","0","1","~ as.factor(abun) 1","0.998943085485526","0.997720486470336","1.09643123399175","1.03521720347095","0.313173617976282","0.863728429658423","0.69475664176481","0.226228162767267"
"TRIPRA","Trifolium pratense L.","64","0","0","1","~ as.factor(abun) 1","0.999784507460921","0.990907351967533","0.985405970302423","1.08459621488299","0.898609542556157","0.74893425564162","0.966293876591121","0.221095722211115"
"TRIREP","Trifolium repens L.","514","0.0242187612167446","32.064105916422","1.47495544666754e-08","~ as.factor(abun) elev + slope","1.00097572805038","0.952860143021117","0.958338583255585","0.994850873485557","0.0401339802690961","1.63691612806214e-08","0.724244597430555","0.785965243303042"
