"","species","resid.df","%dev.best","DeltaAIC.best","P.best","best","elev.coef","slope.coef","north.coef","SRali.coef","Year.coef","elev.P","slope.P","north.P","SRali.P","Year.P"
"ACHMIL","Achillea millefolium L.","161","0.0129832891283078","3.76126456263057","0.0163832765235025","~ as.factor(abun) north","0","0","0.5032","0","0","1","1","0.0164","1","1"
"AGRCAP","Agrostis capillaris L.","218","0.0256608866289577","10.1585567563823","0.00114907649439444","~ as.factor(abun) elev + slope + SRali + Year","-0.0014","0.037","0","-0.1029","-0.1686","0.0401","0.0062","1","0.0017","0.0712"
"AGRSTO","Agrostis stolonifera L.","29","0.065170685888464","1.88550047300026","0.0527205352313272","~ as.factor(abun) slope + SRali","0","-0.0549","0","-0.1117","0","1","0.099","1","0.1153","1"
"AIRCAR","Aira caryophyllea L.","110","0.0747400116521548","17.3069497776106","1.11300498216726e-05","~ as.factor(abun) Year","0","0","0","0","-0.5311","1","1","1","1","0"
"ANTODO","Anthoxanthum odoratum L.","486","0.0406860543656972","56.8954701899954","1.41442413337245e-13","~ as.factor(abun) elev + north + Year","0.0023","0","-0.4915","0","-0.2969","0","1","1e-04","1","0"
"APHARV","Aphanes arvensis L.","63","0.0660719009608844","5.77680460613988","0.00753344903343067","~ as.factor(abun) SRali + Year","0","0","0","0.1162","-0.9602","1","1","1","0.0443","0.0054"
"ARRELA","Arrhenatherum elatius (L.) J.Presl & C.Presl","18","0.0649659620721436","0.938633553871945","0.0864838662234493","~ as.factor(abun) elev","-0.0059","0","0","0","0","0.0865","1","1","1","1"
"BELPER","Bellis perennis L.","86","0.0207394409276178","2.55988478005335","0.0327292752295355","~ as.factor(abun) Year","0","0","0","0","-0.3221","1","1","1","1","0.0327"
"BRODIA","Bromus diandrus Roth","39","0.0437350099317199","1.78261365228818","0.051787706966358","~ as.factor(abun) Year","0","0","0","0","-0.5417","1","1","1","1","0.0518"
"BROHOR","Bromus hordeaceus L.","343","0.020167620527792","11.9190859948252","0.00045707795271821","~ as.factor(abun) elev + SRali + Year","-0.0013","0","0","0.0441","-0.1666","0.0424","1","1","0.0576","0.0038"
"CARPYC","Carduus pycnocephalus L.","154","0.018038232627867","1.46053683511889","0.0652017860148152","~ as.factor(abun) SRali + Year","0","0","0","0.0513","-0.2714","1","1","1","0.0157","0.1407"
"CARTEN","Carduus tenuiflorus Curtis","21","0.118797092823096","3.73343375017195","0.0166449057090411","~ as.factor(abun) SRali","0","0","0","0.2472","0","1","1","1","0.0166","1"
"CERFSV","Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet","367","0.0322769977939745","19.444098314811","1.24674583800166e-05","~ as.factor(abun) elev + north + Year","0.0022","0","-0.41","0","-0.2341","2e-04","1","0.0055","1","0.0122"
"CERGLO","Cerastium glomeratum Thuill.","160","0.0797799420546939","23.5710135039562","2.34086291084346e-06","~ as.factor(abun) elev + slope + SRali + Year","0.0019","-0.0306","0","0.0673","-0.568","0.0083","0.0426","1","0.0346","0"
"CIRARV","Cirsium arvense (L.) Scop.","67","0.0288719917650225","1.57186448308173","0.0616715694251333","~ as.factor(abun) slope + Year","0","-0.0393","0","0","-0.3636","1","0.0737","1","1","0.045"
"CIRVUL","Cirsium vulgare (Savi) Ten.","314","0.0133941566719124","4.37289037332448","0.011587670820603","~ as.factor(abun) north","0","0","0.5418","0","0","1","1","0.0116","1","1"
"CRECAP","Crepis capillaris (L.) Wallr.","415","0.0251617163461345","16.9258619161628","5.20663909669983e-05","~ as.factor(abun) elev + slope + north + SRali","0.0014","0.0214","-0.4182","0.0529","0","0.0143","0.0208","0.0023","0.0167","1"
