"","nobs","df","resid.dev","dev.ratio","abun.meanc","abun.minP","nobs","df","resid.dev","null.dev","dev.ratio","aic.null","aic.DEM_10","aic.SLOPE","aic.Northern","aic.SRali","aic.abun","dev.DEM_10","dev.SLOPE","dev.Northern","dev.SRali","dev.abun","DEM10.c","DEM10.P","SLOPE.c","SLOPE.P","Northness.c","Northness.P","SRali.c","SRali.P","abun.meanc"
"ACHMIL",166,161,498.840135898428,0.10461762536606,-0.883974645973903,3.82008849856658e-08,166,157,367.75357780211,557.125257354289,0.339908623872986,959.508917940768,925.606542272589,880.424835817599,846.801527323336,847.655994509614,786.137238388589,35.9023756681795,47.1817064549902,35.6233084942622,1.14553281372241,69.518756121025,0.00162674552437929,1.3027552756679e-08,0.0325401030604486,1.43875991609324e-09,-0.412266875125942,2.29355351150419e-10,0.0198897727178158,0.115221070734948,0.39233408454562
"AGRCAP",227,221,1310.99352830426,0.0151704859525186,-0.211013358465442,4.11084167681179e-05,227,217,858.013155852659,1331.1883017359,0.355453203176597,1988.64679702964,1661.93885522995,1593.61961422033,1557.37913376565,1555.46886885085,1533.4716511464,328.707941799691,70.3192410096229,38.240480454676,3.91026491479943,31.9972177044493,0.00248770210993353,1.60429203645838e-51,0.0242482721541894,4.10830069397796e-15,-0.255842080462738,5.39765904626611e-09,0.0101131437922678,0.192860415094723,0.79014865330963
"AGRSTO",35,30,143.630689598265,0.0626329986768957,-0.415273423495396,0.0194442722239242,35,26,100.74824030463,153.227806606728,0.342493751390645,240.26690097522,235.19499955861,218.260993947148,207.552684021354,204.84538514297,203.787334673121,7.07190141660982,18.9340056114625,12.7083099257936,4.7072988783837,9.05805046984892,0.000972657353337105,0.106536970810246,0.0308043618989178,0.00530832938990434,-0.480252005129686,0.000219567071205736,0.0466526303128034,0.0236486866420516,1.24129008245348
"AIRCAR",115,110,383.298876849142,0.0192289901066185,-0.0233866236395975,0.0475837411956463,115,106,277.537578231382,390.813832161301,0.289847094979909,818.142843219965,751.183378077126,719.436909335009,716.772531554549,717.708658987173,720.866589290046,68.9594651428391,33.7464687421173,4.66437778045969,1.06387256737617,4.8420696971267,0.0014907049014657,8.37473267254754e-13,0.0138470392236328,4.30138712156135e-08,-0.135767969972111,0.0189893374726696,0.0104655481853046,0.23450539918429,1.02346448454526
"ANTODO",494,488,2305.37132702191,0.053722089597885,0.0463896806203134,5.9384604910016e-13,494,484,1692.41616327873,2436.25186816657,0.305319706310834,3986.99842456135,3595.31286998517,3414.9506970735,3323.30629110577,3304.91115922453,3261.16271967351,393.685554576175,182.362172911674,93.6444059677319,20.3951318812412,53.7484395510151,0.00189095493152188,7.61476200664056e-66,0.0189552230696784,5.82883932487503e-34,-0.283937316443183,6.27828261253478e-23,0.0208284574340417,9.95598953832667e-07,0.812148227925286
"APHARV",68,64,232.101709255004,0.0475039284783925,-0.0413527157248589,0.0103168192467449,68,60,197.280515964193,243.677340195454,0.190402702992594,479.293045306142,458.421581756232,457.338769896887,451.927701273696,453.214644374204,446.896221074882,22.87146354991,3.0828118593457,7.41106862319126,0.71305689949196,12.3184232993214,0.00153072360304954,3.25141720249463e-07,0.00534126363227073,0.288296924291961,-0.232799274379865,0.00241066387601208,0.00731297641954073,0.570754819459081,1.00401802832928
"ARRELA",21,18,64.3904206958226,0.00428522521364488,-0.0154724019415994,0.725569584482853,21,14,51.9136737370832,64.6675356500947,0.197222018510501,129.783168496964,126.761947463122,125.138741429414,125.244242141439,126.068642781433,129.029306583952,5.0212210338414,3.62320603370826,1.89449928797529,1.17559936000546,1.03933619748106,0.00186581436749751,0.0418208380876489,0.024818511014178,0.015771208580906,0.344191510244528,0.0661900644978342,-0.0271309137574368,0.341366964999491,1.28336249555369
"ASPFLB",53,50,99.3155415517893,0.125968854289442,0.178334201532968,0.00016054139885268,53,46,84.4630190911646,113.629293463048,0.256679184416195,331.665930729706,333.204633031629,330.645312235657,330.362514696017,326.357268550879,314.499656357823,0.461297698076947,4.55932079597235,2.28279753964013,6.0052461451376,15.8576121930566,-9.7216576061173e-05,0.758882003808997,0.0140529938521777,0.00115519632537533,0.0549215297177375,0.487577438643136,0.0239654096271638,0.0300223224223459,1.10299904370125
"BELPER",91,86,353.730281395041,0.0191008752870024,0.092803344617457,0.0791526569695027,91,82,264.537974456656,360.618408644762,0.266432416884055,621.215247407447,610.403684552861,587.137175520934,537.545871967265,537.88680810019,541.134813219341,12.8115628545863,25.2665090319268,51.5913035536691,1.65906386707508,4.75199488084849,0.00151738290051906,8.401039202112e-06,0.0209698679371983,0.000172679066835732,-0.571457037141974,1.3405558677052e-12,0.021184387356115,0.166707069175974,1.0050657711836
"BRODIA",43,39,101.375340635023,0.0737339834121281,0.0440196070398527,0.0365043990033339,43,35,97.0014958075156,109.44516890349,0.113697783288613,256.314679885483,252.578772132569,252.618365351609,254.305873932997,256.173705094862,257.871006789508,5.7359077529139,1.96040678095986,0.312491418611373,0.132168838135854,4.30269830535373,0.000528512955606297,0.405700185703671,0.00645500672529599,0.235640533562792,-0.0765538150228518,0.543272272203226,0.00370451109845501,0.784100056196288,1.00164588093436
