"","df.alone","percdev.abun.alone","deltaAIC.alone","df","est.elev","P.elev","percdev.elev","est.slope","P.slope","percdev.slope","est.north","P.north","percdev.north","est.SRali","P.SRali","percdev.SRali","percdev.abun","total.deltaAIC","dev.ratio.actual","deltaAIC.actual","coef.c2","coef.c3","coef.c4","coef.c5","coef.c6","signif.boot.c2","signif.boot.c3","signif.boot.c4","signif.boot.c5","signif.boot.c6","coef.nocovar.c2","coef.nocovar.c3","coef.nocovar.c4","coef.nocovar.c5","coef.nocovar.c6","signif.boot.nocovar.c2","signif.boot.nocovar.c3","signif.boot.nocovar.c4","signif.boot.nocovar.c5","signif.boot.nocovar.c6"
"ACHMIL",161,0.10461762536606,50.2851214558606,157,0.00162674552437929,1.30275527566787e-08,0.0644421971437356,0.0325401030604486,1.4387599160932e-09,0.0846877893833957,-0.412266875125942,2.29355351150401e-10,0.0639412915211067,0.0198897727178158,0.115221070734947,0.00205614948990546,0.124781196334842,61.518756121025,0.335508476734689,61.518756121025,-0.852937235801936,-0.429145347301808,-0.500335924558562,-1.91707057956938,NA,TRUE,TRUE,TRUE,TRUE,NA,-0.689991608348793,-0.525766768805767,-0.545925047164109,-1.77421515957694,NA,TRUE,TRUE,FALSE,TRUE,NA
"AGRCAP",221,0.0151704859525186,10.1947734316416,217,0.00248770210993353,1.60429203645929e-51,0.246928207956041,0.0242482721541894,4.10830069397834e-15,0.0528244132839248,-0.255842080462738,5.3976590462666e-09,0.0287265748991406,0.0101131437922678,0.192860415094725,0.00293742433711321,0.0240365827003771,21.9972177044494,0.354183481602056,21.9972177044494,-0.110317722376478,-0.146477443448217,-0.671713820037321,-0.260884702868566,-0.0606473338498043,FALSE,FALSE,TRUE,FALSE,FALSE,-0.120286166298742,-0.163245410163229,-0.486434170887882,-0.129096796028716,-0.156004248948642,FALSE,FALSE,FALSE,FALSE,FALSE
"AGRSTO",30,0.0626329986768957,1.59711700846285,26,0.000972657353337105,0.106536970810246,0.0461528594138297,0.0308043618989178,0.00530832938990432,0.123567686771489,-0.480252005129686,0.000219567071205733,0.0829373610914534,0.0466526303128035,0.0236486866420514,0.0307209179758434,0.059114926138029,1.05805046984895,0.342493751390645,1.05805046984892,-0.377095740264166,0.529039055773437,0.209254636880378,0.503406959061165,NA,FALSE,FALSE,FALSE,FALSE,NA,-0.827495228635457,0.0510551798631659,-0.567984035873251,-0.316669609336042,NA,FALSE,FALSE,FALSE,FALSE,NA
"AIRCAR",110,0.0192289901066186,-0.485044687840627,106,0.00149070490146569,8.37473267254727e-13,0.176450932561613,0.0138470392236328,4.30138712156109e-08,0.0863492178756588,-0.13576796997211,0.0189893374726697,0.0119350375974781,0.0104655481853046,0.234505399184289,0.00272219783392178,0.012389709111238,-3.1579303028733,0.286246304683981,-3.1579303028733,-0.0920515676048412,-0.0531227064514065,0.469755974642228,-0.177423959923223,NA,FALSE,FALSE,TRUE,FALSE,NA,-0.0327083597460852,0.000226269941003494,0.536957764042839,-0.598022168796147,NA,FALSE,FALSE,TRUE,TRUE,NA
"ANTODO",488,0.053722089597885,120.880541144659,484,0.00189095493152189,7.61476200664149e-66,0.161594767651198,0.0189552230696784,5.82883932487553e-34,0.0748535795065035,-0.283937316443183,6.27828261253578e-23,0.0384379001167088,0.0208284574340417,9.95598953832658e-07,0.00837152026345693,0.0220619387729661,43.7484395510151,0.305319706310834,43.7484395510151,-0.101488768092779,-0.0633598517362999,0.129677053345085,0.0809330083784226,-1.08612348576475,FALSE,FALSE,FALSE,FALSE,TRUE,0.070914276647861,0.0985416692859828,0.5119877389382,0.395011229987518,-0.844506511757995,FALSE,FALSE,TRUE,TRUE,TRUE
"APHARV",64,0.0475039284783925,5.57563094044968,60,0.00153072360304954,3.2514172024948e-07,0.0938596240896458,0.00534126363227073,0.288296924291962,0.0126512044857063,-0.232799274379864,0.00241066387601211,0.0304134500862774,0.00731297641954081,0.570754819459077,0.00292623392441832,0.0505521904065466,6.31842329932141,0.182309359632598,6.31842329932141,-0.303502313277847,-0.107412376886571,0.460535459946171,NA,NA,FALSE,FALSE,TRUE,NA,NA,-0.325897121543985,-0.121736021142977,0.323574995512386,NA,NA,FALSE,FALSE,TRUE,NA,NA
"ARRELA",18,0.00428522521364466,-3.72288504572793,14,0.00186581436749751,0.0418208380876489,0.0776467045382771,0.024818511014178,0.015771208580906,0.0560282063833825,0.344191510244528,0.0661900644978341,0.0292959870656912,-0.0271309137574368,0.341366964999491,0.0181791272573986,0.0160719932657513,-2.96066380251894,0.0834876187872062,-2.96066380251894,0.135914744225849,0.133475098077912,NA,NA,NA,FALSE,FALSE,NA,NA,NA,0.0512932943706609,-0.0822380982538597,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"BELPER",86,0.0191008752870022,-1.11187275027919,82,0.00151738290051906,8.40103920211189e-06,0.0355266468584712,0.0209698679371983,0.000172679066835728,0.0700643905752919,-0.571457037141973,1.34055586770522e-12,0.143063421935542,0.0211843873561149,0.166707069175976,0.00460060780954027,0.0131773497052104,-3.24800511915146,0.261148083411439,-3.24800511915146,-0.233110989242144,-0.0229801484818314,0.147170335708794,0.160557127314943,NA,FALSE,FALSE,FALSE,FALSE,NA,-0.22846120781636,-0.0256718679197382,0.424245002758589,0.201101451447338,NA,FALSE,FALSE,TRUE,FALSE,NA
"BRODIA",39,0.0737339834121284,2.06982826846757,35,0.000528512955606297,0.405700185703671,0.0524089625004084,0.00645500672529599,0.235640533562793,0.0179122276533612,-0.0765538150228516,0.543272272203227,0.00285523264061949,0.00370451109845497,0.78410005619629,0.00120762606024563,0.0393137344339785,-1.69730169464623,0.0959439808334711,-1.69730169464628,-0.329648629915701,-0.0631305408641803,0.441101006512709,NA,NA,FALSE,FALSE,TRUE,NA,NA,-0.355819877618999,-0.13713067665417,0.625009375392727,NA,NA,FALSE,FALSE,TRUE,NA,NA
"BROHOR",345,0.0047003560548413,-1.88191967842477,341,0.000928106797715363,1.87418643073706e-09,0.0441931807497202,0.0178627928902073,1.44776936226673e-14,0.0715262910492481,-0.283014041084998,2.42638734991723e-14,0.0378099332741002,0.0421408330865711,8.56999268916102e-16,0.0494052446821575,0.000626893587183576,-7.18402238581029,0.20356154334241,-7.18402238581029,-0.0184207830830387,-0.0217632961417139,-0.141703954902237,0.0230871677691864,NA,FALSE,FALSE,FALSE,FALSE,NA,0.0647473017208322,0.0780257130267226,-0.190420695860861,-0.187048011397565,NA,FALSE,FALSE,FALSE,FALSE,NA
